file,max_prob4,n_prob4_ge_045,n_prob4_ge_035,n_prob4_ge_025,n_prob4_ge_015,n_prob4_ge_005,n_nodes,n_apical_gt,n_basal_gt,n_axon_gt,n_apical_pred,n_basal_pred,n_axon_pred,accuracy,F1_neurite,axon_F1,basal_F1,apical_F1,soma_F1
allen__H16.03.001.01.09.01_519832676.swc,0.8965458869934082,1,1,1,2,7,9319,2423,4250,2645,2423,4250,2645,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.03.003.01.18.01_525133308.swc,0.6554546356201172,1,1,1,1,7,9118,1200,1075,6842,1200,1075,6842,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.03.005.01.03.02_526725807.swc,0.8998783826828003,1,1,1,1,6,9770,4411,3918,1440,4411,3918,1440,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.03.005.01.09.01_526785799.swc,0.8627451062202454,1,1,1,1,4,10088,3501,2242,4344,3501,2242,4344,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.03.005.01.09.04_526800653.swc,0.871787428855896,1,1,1,1,8,26398,8879,4983,12535,8879,4983,12535,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.03.006.01.03.04_537313600.swc,0.9032777547836304,1,1,1,1,7,25936,7454,6343,12138,7454,6343,12138,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.03.006.01.04.02_537261100.swc,0.8971865177154541,1,1,2,3,7,30565,5928,7287,17349,5928,7287,17349,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.03.007.01.01.04.03_541545716.swc,0.8348755836486816,1,1,1,1,5,16352,2511,3363,10477,2511,3363,10477,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.06.004.01.04.03_508282493.swc,0.9084939360618591,1,1,1,1,6,10880,2831,2418,5630,2831,2418,5630,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.06.004.01.05.02_508378649.swc,0.846420168876648,1,1,1,1,8,15268,2819,3103,9345,2819,3103,9345,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.06.004.01.13.02_508405843.swc,0.7892967462539673,1,1,1,1,6,2482,1570,860,51,1570,911,0,0.9795,0.6571,0.0,0.9712,1.0,1.0
allen__H16.06.007.01.05.02_531517778.swc,0.906080961227417,1,2,2,2,5,30868,6403,6219,18245,6403,6219,18245,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.06.009.01.02.03.01_528636794.swc,0.9102057218551636,2,2,2,2,5,7487,5029,939,1518,3256,2712,1518,0.7632,0.7668,1.0,0.5144,0.786,1.0
allen__H16.06.009.01.02.05.01_528638057.swc,0.8426016569137573,1,1,1,2,7,10280,4848,2884,2547,4848,2884,2547,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.06.010.01.01.10.01_529889679.swc,0.895358681678772,1,1,1,1,5,11792,3132,2595,6064,3132,2595,6064,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.06.010.01.03.05.02_529863215.swc,0.7972554564476013,2,2,2,2,5,21802,4534,4344,12923,0,8878,12923,0.792,0.5524,1.0,0.6571,0.0,1.0
allen__H16.06.010.01.03.14.02_530062215.swc,0.8910554647445679,1,1,1,1,9,24797,7784,5469,11543,7784,5469,11543,1.0,1.0,1.0,1.0,1.0,1.0
allen__H16.06.011.01.01.05.03_539653924.swc,0.9079916477203369,1,1,1,1,10,9458,4552,4842,63,4552,4842,63,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.03.002.11.04.01_569818704.swc,0.8845007419586182,1,1,1,1,6,8351,3528,2879,1943,3528,2879,1943,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.03.002.11.04.02_569820026.swc,0.9028340578079224,1,1,1,1,5,3806,2418,759,628,2418,759,628,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.06.003.11.05.01_567731428.swc,0.9006750583648682,1,1,1,2,5,13241,2614,2899,7727,2614,2899,7727,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.06.004.11.05.04_569095789.swc,0.4590737521648407,1,1,1,1,5,7001,1426,1026,4548,1426,1026,4548,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.06.004.11.05.05_569100745.swc,0.9039638042449951,1,1,1,1,3,10436,2905,1503,6027,2905,1503,6027,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.06.005.12.15.03_571450870.swc,0.8733264207839966,1,1,1,1,4,19239,4513,3695,11030,4513,3695,11030,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.06.005.12.16.03_571527806.swc,0.4984637498855591,1,1,1,2,7,8165,1188,4876,2100,0,6064,2100,0.8545,0.6305,1.0,0.8914,0.0,1.0
allen__H17.06.005.13.09.02_571520182.swc,0.7645494937896729,1,1,1,2,4,8305,1428,1518,5358,1428,1518,5358,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.06.006.11.08.04_571654895.swc,0.8980391025543213,1,1,1,1,5,18589,2721,2368,13499,2721,2368,13499,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.06.006.11.10.01_571624971.swc,0.8997793197631836,1,1,1,2,7,24906,7573,5162,12170,7573,5162,12170,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.06.006.11.10.02_571642127.swc,0.8964374661445618,1,1,2,2,6,17824,3328,2580,11915,3328,2580,11915,1.0,1.0,1.0,1.0,1.0,1.0
allen__H17.06.007.11.05.05_576132767.swc,0.8862431049346924,1,1,1,1,4,3458,3220,218,19,2241,1216,0,0.7114,0.3749,0.0,0.304,0.8207,1.0
hpf_ca1__201983_010_edited.swc,0.9027019739151001,1,1,1,1,9,41412,2066,2545,36800,2067,2544,36800,1.0,0.9999,1.0,0.9998,0.9998,1.0
hpf_ca1__201983_017_edited.swc,0.873518705368042,1,1,1,1,6,10101,2825,1380,5895,2825,1380,5895,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201983_047_edited.swc,0.9121491312980652,1,1,1,1,5,18073,2081,1077,14914,2081,1077,14914,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_001_edited.swc,0.12150360643863678,0,0,0,0,7,76917,0,2345,74571,0,2345,74571,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__201990_002_edited.swc,0.9025540351867676,1,1,1,1,8,25829,2797,952,22079,2797,952,22079,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_005_edited.swc,0.884368896484375,1,1,1,1,5,56750,0,3284,53465,2000,1284,53465,0.9648,0.7811,1.0,0.5622,,1.0
hpf_ca1__201990_006_edited.swc,0.9061647057533264,1,1,1,1,5,66497,2102,1699,62695,2102,1699,62695,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_016_edited.swc,0.7352010011672974,1,1,1,1,8,51220,1961,1273,47985,1961,1273,47985,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_022_edited.swc,0.9123972654342651,1,1,1,1,8,62240,0,3676,58563,2263,1413,58563,0.9636,0.7777,1.0,0.5553,,1.0
hpf_ca1__201990_025_edited.swc,0.6379699110984802,1,1,1,1,3,86114,1772,2107,82234,3570,309,82234,0.9791,0.6397,1.0,0.2558,0.6634,1.0
hpf_ca1__201990_026_edited.swc,0.8922766447067261,1,1,1,1,6,36019,2254,2479,31285,2254,2479,31285,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_027_edited.swc,0.9112221002578735,1,1,1,1,7,70301,2454,1987,65859,2454,1987,65859,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_031_edited.swc,0.6007040143013,1,1,1,1,6,55514,0,3116,52397,0,3116,52397,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__201990_033_edited.swc,0.85446697473526,1,1,1,1,7,53260,1422,1321,50516,0,2743,50516,0.9733,0.55,1.0,0.6501,0.0,1.0
hpf_ca1__201990_034_edited.swc,0.7974817752838135,1,1,1,1,3,44572,2735,816,41020,2735,816,41020,1.0,1.0,1.0,1.0,1.0,1.0
hpf_ca1__201990_041_edited.swc,0.0575554296374321,0,0,0,0,3,50121,0,2564,47556,0,2564,47556,1.0,1.0,1.0,1.0,,1.0
hpf_ca1__201990_066_edited.swc,0.2101750373840332,0,0,0,1,5,5246,928,1863,2454,0,2791,2454,0.8231,0.6002,1.0,0.8006,0.0,1.0
