model,feature_set,target_recall,n_flagged,precision,actual_recall,fp,fn,acc
logreg,full,0.5,40,0.45,0.5142857142857142,22,17,0.8882521489971347
logreg,full,0.7,74,0.33783783783783783,0.7142857142857143,49,10,0.830945558739255
logreg,full,0.8,112,0.25,0.8,84,7,0.7392550143266475
logreg,full,0.9,157,0.20382165605095542,0.9142857142857143,125,3,0.6332378223495702
logreg,full,0.95,198,0.1717171717171717,0.9714285714285714,164,1,0.5272206303724928
logreg,full,1.0,306,0.11437908496732026,1.0,271,0,0.22349570200573066
hgb,full,0.5,37,0.4864864864864865,0.5142857142857142,19,17,0.8968481375358166
hgb,full,0.7,54,0.46296296296296297,0.7142857142857143,29,10,0.8882521489971347
hgb,full,0.8,82,0.34146341463414637,0.8,54,7,0.8252148997134671
hgb,full,0.9,145,0.2206896551724138,0.9142857142857143,113,3,0.667621776504298
hgb,full,0.95,235,0.14468085106382977,0.9714285714285714,201,1,0.42120343839541546
hgb,full,1.0,254,0.1377952755905512,1.0,219,0,0.37249283667621774
rf,full,0.5,30,0.6,0.5142857142857142,12,17,0.9169054441260746
rf,full,0.7,52,0.4807692307692308,0.7142857142857143,27,10,0.8939828080229226
rf,full,0.8,85,0.32941176470588235,0.8,57,7,0.8166189111747851
rf,full,0.9,128,0.25,0.9142857142857143,96,3,0.7163323782234957
rf,full,0.95,227,0.14977973568281938,0.9714285714285714,193,1,0.44412607449856734
rf,full,1.0,332,0.10542168674698796,1.0,297,0,0.1489971346704871
extra_trees,full,0.5,30,0.6,0.5142857142857142,12,17,0.9169054441260746
extra_trees,full,0.7,72,0.3472222222222222,0.7142857142857143,47,10,0.836676217765043
extra_trees,full,0.8,138,0.2028985507246377,0.8,110,7,0.664756446991404
extra_trees,full,0.9,202,0.15841584158415842,0.9142857142857143,170,3,0.504297994269341
extra_trees,full,0.95,228,0.14912280701754385,0.9714285714285714,194,1,0.44126074498567336
extra_trees,full,1.0,276,0.12681159420289856,1.0,241,0,0.30945558739255014
gb,full,0.5,36,0.5,0.5142857142857142,18,17,0.8997134670487106
gb,full,0.7,62,0.4032258064516129,0.7142857142857143,37,10,0.8653295128939829
gb,full,0.8,95,0.29473684210526313,0.8,67,7,0.7879656160458453
gb,full,0.9,177,0.1807909604519774,0.9142857142857143,145,3,0.5759312320916905
gb,full,0.95,300,0.11333333333333333,0.9714285714285714,266,1,0.2349570200573066
gb,full,1.0,313,0.11182108626198083,1.0,278,0,0.2034383954154728
logreg,no_lab,0.5,41,0.43902439024390244,0.5142857142857142,23,17,0.8853868194842407
logreg,no_lab,0.7,60,0.4166666666666667,0.7142857142857143,35,10,0.8710601719197708
logreg,no_lab,0.8,148,0.1891891891891892,0.8,120,7,0.6361031518624641
logreg,no_lab,0.9,223,0.14349775784753363,0.9142857142857143,191,3,0.44412607449856734
logreg,no_lab,0.95,260,0.13076923076923078,0.9714285714285714,226,1,0.3495702005730659
logreg,no_lab,1.0,320,0.109375,1.0,285,0,0.1833810888252149
hgb,no_lab,0.5,35,0.5142857142857142,0.5142857142857142,17,17,0.9025787965616046
hgb,no_lab,0.7,55,0.45454545454545453,0.7142857142857143,30,10,0.8853868194842407
hgb,no_lab,0.8,80,0.35,0.8,52,7,0.830945558739255
hgb,no_lab,0.9,147,0.21768707482993196,0.9142857142857143,115,3,0.66189111747851
hgb,no_lab,0.95,187,0.18181818181818182,0.9714285714285714,153,1,0.5587392550143266
hgb,no_lab,1.0,310,0.11290322580645161,1.0,275,0,0.21203438395415472
rf,no_lab,0.5,31,0.5806451612903226,0.5142857142857142,13,17,0.9140401146131805
rf,no_lab,0.7,50,0.5,0.7142857142857143,25,10,0.8997134670487106
rf,no_lab,0.8,86,0.32558139534883723,0.8,58,7,0.8137535816618912
rf,no_lab,0.9,141,0.22695035460992907,0.9142857142857143,109,3,0.6790830945558739
rf,no_lab,0.95,210,0.1619047619047619,0.9714285714285714,176,1,0.49283667621776506
rf,no_lab,1.0,305,0.11475409836065574,1.0,270,0,0.22636103151862463
extra_trees,no_lab,0.5,31,0.5806451612903226,0.5142857142857142,13,17,0.9140401146131805
extra_trees,no_lab,0.7,77,0.3246753246753247,0.7142857142857143,52,10,0.8223495702005731
extra_trees,no_lab,0.8,112,0.25,0.8,84,7,0.7392550143266475
extra_trees,no_lab,0.9,175,0.18285714285714286,0.9142857142857143,143,3,0.5816618911174785
extra_trees,no_lab,0.95,259,0.13127413127413126,0.9714285714285714,225,1,0.3524355300859599
extra_trees,no_lab,1.0,287,0.12195121951219512,1.0,252,0,0.27793696275071633
gb,no_lab,0.5,37,0.4864864864864865,0.5142857142857142,19,17,0.8968481375358166
gb,no_lab,0.7,56,0.44642857142857145,0.7142857142857143,31,10,0.8825214899713467
gb,no_lab,0.8,113,0.24778761061946902,0.8,85,7,0.7363896848137536
gb,no_lab,0.9,229,0.13973799126637554,0.9142857142857143,197,3,0.4269340974212034
gb,no_lab,0.95,266,0.12781954887218044,0.9714285714285714,232,1,0.332378223495702
gb,no_lab,1.0,289,0.12110726643598616,1.0,254,0,0.2722063037249284
logreg,numeric_only,0.5,41,0.43902439024390244,0.5142857142857142,23,17,0.8853868194842407
logreg,numeric_only,0.7,60,0.4166666666666667,0.7142857142857143,35,10,0.8710601719197708
logreg,numeric_only,0.8,146,0.1917808219178082,0.8,118,7,0.6418338108882522
logreg,numeric_only,0.9,223,0.14349775784753363,0.9142857142857143,191,3,0.44412607449856734
logreg,numeric_only,0.95,264,0.12878787878787878,0.9714285714285714,230,1,0.33810888252148996
logreg,numeric_only,1.0,318,0.11006289308176101,1.0,283,0,0.18911174785100288
hgb,numeric_only,0.5,35,0.5142857142857142,0.5142857142857142,17,17,0.9025787965616046
hgb,numeric_only,0.7,55,0.45454545454545453,0.7142857142857143,30,10,0.8853868194842407
hgb,numeric_only,0.8,80,0.35,0.8,52,7,0.830945558739255
hgb,numeric_only,0.9,147,0.21768707482993196,0.9142857142857143,115,3,0.66189111747851
hgb,numeric_only,0.95,187,0.18181818181818182,0.9714285714285714,153,1,0.5587392550143266
hgb,numeric_only,1.0,310,0.11290322580645161,1.0,275,0,0.21203438395415472
rf,numeric_only,0.5,30,0.6,0.5142857142857142,12,17,0.9169054441260746
rf,numeric_only,0.7,55,0.45454545454545453,0.7142857142857143,30,10,0.8853868194842407
rf,numeric_only,0.8,76,0.3684210526315789,0.8,48,7,0.8424068767908309
rf,numeric_only,0.9,132,0.24242424242424243,0.9142857142857143,100,3,0.7048710601719198
rf,numeric_only,0.95,214,0.1588785046728972,0.9714285714285714,180,1,0.4813753581661891
rf,numeric_only,1.0,313,0.11182108626198083,1.0,278,0,0.2034383954154728
extra_trees,numeric_only,0.5,32,0.5625,0.5142857142857142,14,17,0.9111747851002865
extra_trees,numeric_only,0.7,65,0.38461538461538464,0.7142857142857143,40,10,0.8567335243553008
extra_trees,numeric_only,0.8,110,0.2545454545454545,0.8,82,7,0.7449856733524355
extra_trees,numeric_only,0.9,150,0.21333333333333335,0.9142857142857143,118,3,0.6532951289398281
extra_trees,numeric_only,0.95,220,0.15454545454545454,0.9714285714285714,186,1,0.46418338108882523
extra_trees,numeric_only,1.0,230,0.15217391304347827,1.0,195,0,0.44126074498567336
gb,numeric_only,0.5,38,0.47368421052631576,0.5142857142857142,20,17,0.8939828080229226
gb,numeric_only,0.7,56,0.44642857142857145,0.7142857142857143,31,10,0.8825214899713467
gb,numeric_only,0.8,113,0.24778761061946902,0.8,85,7,0.7363896848137536
gb,numeric_only,0.9,229,0.13973799126637554,0.9142857142857143,197,3,0.4269340974212034
gb,numeric_only,0.95,267,0.12734082397003746,0.9714285714285714,233,1,0.32951289398280803
gb,numeric_only,1.0,289,0.12110726643598616,1.0,254,0,0.2722063037249284
