file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent
neuromorpho__GGN_20170309_sc.swc,36156,interneuron,0.565976,36155,0,0,0,0,0.301558,0.0257856,0.3,0.3,0.3,0.3,0.3,0.996349,0.996349,0.996349,0.999972,0.999972,0.301539,0.3,0.996377,0,0,0,0,0,0,3646,0.300235,0.3,0.3,0.999726,0.999726,21,0,300.86,160.471,68.4051,643.43,821.76,0,0,0,0,0,0,0,0,0,0
neuromorpho__170321_1.swc,4529,interneuron,0.994738,4504,24,0,0,0,0.958116,0.162506,0.3,0.3,0.976703,0.999687,0.999687,0.0574078,0.0574078,0.0574078,0.0574078,0.0574078,0.957886,0.976703,0.0577265,0.999551,0.999551,0,0,0,0,243,0.985872,0.3,0.999651,0.0164609,0.0164609,63.8,0,70,22.5584,18.6909,367.75,384.4,0,0,0,17.14,4.63,0,0,0,0,0
neuromorpho__n423.swc,2143,pyramidal,0.759748,929,1213,0,0,0,0.430312,0.180532,0.3,0.3,0.3,0.3,0.3,0.630425,0.731685,0.961269,0.977601,0.977601,0.566072,0.3,0.961249,0.325867,0.3,0.962077,0,0,0,75,0.450451,0.3,0.3,0.946667,0.96,57.2,0.342,123.22,61.448,27.6388,280.29,244.07,265.19,-30.4713,51.2934,466.91,749.62,0,0,0,0,0
neuromorpho__3PO3_5.swc,790,pyramidal,0.975148,480,309,0,0,0,0.689703,0.263014,0.3,0.3,0.3,0.557039,0.557039,0.156962,0.607595,0.607595,0.607595,0.607595,0.490402,0.3,1,0.998294,0.998294,0,0,0,0,15,0.904594,0.3,0.555887,0.2,0.2,110,0,0,0,0,45.88,268.47,0,0,0,41.87,121.1,0,0,0,0,0
neuromorpho__110E_1_L_Ngr2KO_1.swc,182,interneuron,0.475045,0,181,0,0,0,0.901319,0.00733492,0.900774,0.900774,0.900774,0.900774,0.900774,0,0,0,0,0,0,0,0,0.900774,0.900774,0,0,0,0,22,0.905284,0.900774,0.900774,0,0,15.9,0,0,0,0,0,0,72.3,34.6175,16.6075,100.86,286.38,0,0,0,0,0
neuromorpho__10month-Arctic-C5aR1-KO-52280-LR_4.swc,173,pyramidal,0.719985,172,0,0,0,0,0.390582,0.231331,0.3,0.3,0.3,0.3,0.3,0.867052,0.867052,0.867052,0.867052,0.867052,0.387039,0.3,0.872093,0,0,0,0,0,0,12,0.408236,0.3,0.3,0.833333,0.833333,27.7,0,32.48,-9.58477,8.73802,85.05,346.09,0,0,0,0,0,0,0,0,0,0
neuromorpho__cIN-1360-nrn-ns-111206-transl-invX-scaled-straightened.swc,78,pyramidal,0.382111,0,0,77,0,0,0.50059,0.218794,0.3,0.3,0.3,0.3,0.3,0.538462,0.538462,0.538462,0.987179,0.987179,0,0,0,0,0,0,0.494104,0.3,0.545455,4,0.664954,0.3,0.464627,0.5,0.75,36.7,0,0,0,0,0,0,0,0,0,0,0,70.84,41.5571,16.9893,26.67,1054.33
neuromorpho__C912-WT-basal-2.swc,72,pyramidal,0.977267,71,0,0,0,0,0.618061,0.0457385,0.602087,0.602087,0.602087,0.610214,0.615521,0,0,0.986111,0.986111,0.986111,0.612682,0.602087,1,0,0,0,0,0,0,16,0.637806,0.602087,0.605383,0.9375,0.9375,7,0,35.99,-5.41549,8.45897,100.61,68.85,0,0,0,0,0,0,0,0,0,0
neuromorpho__C1042-whole-2.swc,61,pyramidal,0.992296,32,28,0,0,0,0.736703,0.240088,0.501754,0.501754,0.501754,0.508991,0.512839,0,0.52459,0.52459,0.52459,0.52459,0.508173,0.501754,1,0.988477,0.988477,0,0,0,0,15,0.765546,0.501754,0.504649,0.466667,0.466667,6,0,70,24.0625,27.2557,46.87,66.95,90,8.99786,25.9981,55.82,77.31,0,0,0,0,0
neuromorpho__hippo-104-6.swc,70,pyramidal,0.9839,0,0,69,0,0.00141455,0.981675,0.00221158,0.981077,0.981077,0.981077,0.981462,0.981462,0,0,0,0,0,0,0,0,0,0,0,0.981409,0.981077,0,18,0.982446,0.981077,0.981077,0,0,8,0,0,0,0,0,0,0,0,0,0,0,39.36,-10.062,11.2796,78.82,180.19
