model,feature_set,target_recall,score_threshold,val_precision,val_recall,val_n,test_precision,test_recall,test_n,test_fp,test_fn,test_acc,test_kept_p10
logreg,full,0.5,0.591357799859853,0.5806451612903226,0.5,31,0.5454545454545454,0.5142857142857142,33,15,17,0.9083094555873925,0.74505
logreg,full,0.7,0.18127859707998134,0.3170731707317073,0.7222222222222222,82,0.3561643835616438,0.7428571428571429,73,47,9,0.839541547277937,0.98725
logreg,full,0.8,0.07726608848642148,0.25217391304347825,0.8055555555555556,115,0.2818181818181818,0.8857142857142857,110,79,4,0.7621776504297995,0.9987400000000001
logreg,full,0.9,0.024963865352542646,0.17010309278350516,0.9166666666666666,194,0.16748768472906403,0.9714285714285714,203,169,1,0.5128939828080229,1.0
logreg,full,0.95,0.017091631169590393,0.15555555555555556,0.9722222222222222,225,0.15454545454545454,0.9714285714285714,220,186,1,0.46418338108882523,1.0
logreg,full,1.0,0.000348416584028232,0.10650887573964497,1.0,338,0.10294117647058823,1.0,340,305,0,0.12607449856733524,1.0
hgb,full,0.5,0.3767106696419679,0.6206896551724138,0.5,29,0.5,0.5142857142857142,36,18,17,0.8997134670487106,0.7448
hgb,full,0.7,0.09567816427014089,0.49056603773584906,0.7222222222222222,53,0.5185185185185185,0.8,54,26,7,0.9054441260744985,0.9871
hgb,full,0.8,0.04128182931670023,0.4027777777777778,0.8055555555555556,72,0.46153846153846156,0.8571428571428571,65,35,5,0.8853868194842407,0.99373
hgb,full,0.9,0.01298824125950989,0.32673267326732675,0.9166666666666666,101,0.3333333333333333,0.8857142857142857,93,62,4,0.8108882521489972,0.9999
hgb,full,0.95,0.0022414699743388226,0.22727272727272727,0.9722222222222222,154,0.21621621621621623,0.9142857142857143,148,116,3,0.6590257879656161,1.0
hgb,full,1.0,0.0014575843457979782,0.2057142857142857,1.0,175,0.1807909604519774,0.9142857142857143,177,145,3,0.5759312320916905,1.0
rf,full,0.5,0.38408969436661405,0.42857142857142855,0.5,42,0.6341463414634146,0.7428571428571429,41,15,9,0.9312320916905444,0.9367800000000001
rf,full,0.7,0.2500227860940384,0.45614035087719296,0.7222222222222222,57,0.5384615384615384,0.8,52,24,7,0.9111747851002865,0.9794999999999999
rf,full,0.8,0.23861842789242196,0.47540983606557374,0.8055555555555556,61,0.5283018867924528,0.8,53,25,7,0.9083094555873925,0.9793
rf,full,0.9,0.14615923642334896,0.358695652173913,0.9166666666666666,92,0.3595505617977528,0.9142857142857143,89,57,3,0.828080229226361,0.99998
rf,full,0.95,0.018143853799156947,0.16908212560386474,0.9722222222222222,207,0.171875,0.9428571428571428,192,159,2,0.5386819484240688,1.0
rf,full,1.0,0.015371673958647464,0.17061611374407584,1.0,211,0.16417910447761194,0.9428571428571428,201,168,2,0.5128939828080229,1.0
extra_trees,full,0.5,0.5029799923067165,0.45,0.5,40,0.5581395348837209,0.6857142857142857,43,19,11,0.9140401146131805,0.86545
extra_trees,full,0.7,0.3396928547808493,0.4406779661016949,0.7222222222222222,59,0.5208333333333334,0.7142857142857143,48,23,10,0.9054441260744985,0.9085
extra_trees,full,0.8,0.2742526229821486,0.38666666666666666,0.8055555555555556,75,0.4126984126984127,0.7428571428571429,63,37,9,0.8681948424068768,0.9793
extra_trees,full,0.9,0.18321169241328214,0.3113207547169811,0.9166666666666666,106,0.32222222222222224,0.8285714285714286,90,61,6,0.8080229226361032,0.99936
extra_trees,full,0.95,0.05696297037704655,0.1794871794871795,0.9722222222222222,195,0.17297297297297298,0.9142857142857143,185,153,3,0.5530085959885387,1.0
extra_trees,full,1.0,0.04086431848137179,0.17307692307692307,1.0,208,0.15458937198067632,0.9142857142857143,207,175,3,0.4899713467048711,1.0
gb,full,0.5,0.26815446458103837,0.6,0.5,30,0.5294117647058824,0.5142857142857142,34,16,17,0.9054441260744985,0.7503000000000001
gb,full,0.7,0.1386990605917552,0.5,0.7222222222222222,52,0.4782608695652174,0.6285714285714286,46,24,13,0.8939828080229226,0.8352600000000001
gb,full,0.8,0.09103101351075962,0.4603174603174603,0.8055555555555556,63,0.46296296296296297,0.7142857142857143,54,29,10,0.8882521489971347,0.95886
gb,full,0.9,0.044482688231858844,0.38823529411764707,0.9166666666666666,85,0.3783783783783784,0.8,74,46,7,0.8481375358166189,0.9898
gb,full,0.95,0.0144380402454479,0.21084337349397592,0.9722222222222222,166,0.20253164556962025,0.9142857142857143,158,126,3,0.6303724928366762,1.0
gb,full,1.0,0.01136007738195763,0.18848167539267016,1.0,191,0.18232044198895028,0.9428571428571428,181,148,2,0.5702005730659025,1.0
logreg,no_lab,0.5,0.6806504600349971,0.4864864864864865,0.5,37,0.5555555555555556,0.5714285714285714,36,16,15,0.9111747851002865,0.7748400000000002
logreg,no_lab,0.7,0.21893586927718425,0.3023255813953488,0.7222222222222222,86,0.3375,0.7714285714285715,80,53,8,0.8252148997134671,0.9888
logreg,no_lab,0.8,0.08085416499366795,0.2457627118644068,0.8055555555555556,118,0.2608695652173913,0.8571428571428571,115,85,5,0.7421203438395415,1.0
logreg,no_lab,0.9,0.033599020187498045,0.1625615763546798,0.9166666666666666,203,0.16748768472906403,0.9714285714285714,203,169,1,0.5128939828080229,1.0
logreg,no_lab,0.95,0.0137305278752715,0.1346153846153846,0.9722222222222222,260,0.13725490196078433,1.0,255,220,0,0.36962750716332377,1.0
logreg,no_lab,1.0,0.0003283835327658317,0.10557184750733138,1.0,341,0.10204081632653061,1.0,343,308,0,0.1174785100286533,1.0
hgb,no_lab,0.5,0.3912184449585207,0.5806451612903226,0.5,31,0.5454545454545454,0.5142857142857142,33,15,17,0.9083094555873925,0.74505
hgb,no_lab,0.7,0.06251640910547938,0.4727272727272727,0.7222222222222222,55,0.48333333333333334,0.8285714285714286,60,31,6,0.8939828080229226,0.9911599999999999
hgb,no_lab,0.8,0.03663411145134309,0.4461538461538462,0.8055555555555556,65,0.44776119402985076,0.8571428571428571,67,37,5,0.8796561604584527,0.99187
hgb,no_lab,0.9,0.010964587746370979,0.3235294117647059,0.9166666666666666,102,0.3333333333333333,0.9142857142857143,96,64,3,0.8080229226361032,0.9998400000000001
hgb,no_lab,0.95,0.003970674822647879,0.25925925925925924,0.9722222222222222,135,0.23703703703703705,0.9142857142857143,135,103,3,0.6962750716332379,1.0
