v12 + L-Measure/baseline fusion sweep
========================================================================================================================
Sorted by corpus neurite macro F1. Higher is better; pc_F1_p10 guards tail behavior.

method                               acc  neurF1    axon   basal  apical  pcMean   pcP10   pyrF1   intF1
lmeasure_lowconf@0.95             0.9834  0.9519  0.9943  0.9527  0.9089  0.9261  0.6507  0.9536  0.9725
lmeasure_axon_cleanup@0.95        0.9824  0.9504  0.9935  0.9510  0.9066  0.9317  0.6556  0.9513  0.9727
lmeasure_axon_cleanup@1.01        0.9810  0.9501  0.9926  0.9455  0.9121  0.9187  0.6396  0.9532  0.9648
lmeasure_lowconf@0.9              0.9821  0.9483  0.9934  0.9510  0.9004  0.9303  0.6563  0.9501  0.9709
lmeasure_lowconf@0.8              0.9817  0.9477  0.9931  0.9497  0.9002  0.9305  0.6586  0.9493  0.9704
lmeasure_lowconf@0.5              0.9803  0.9467  0.9919  0.9469  0.9013  0.9305  0.6606  0.9483  0.9684
lmeasure_axon_cleanup@0.9         0.9811  0.9467  0.9927  0.9492  0.8982  0.9346  0.6599  0.9480  0.9706
lmeasure_lowconf@0.7              0.9809  0.9464  0.9926  0.9482  0.8983  0.9311  0.6606  0.9482  0.9690
lmeasure_axon_cleanup@0.8         0.9806  0.9462  0.9923  0.9478  0.8983  0.9339  0.6594  0.9473  0.9701
lmeasure_axon_cleanup@0.7         0.9803  0.9458  0.9921  0.9468  0.8983  0.9330  0.6590  0.9467  0.9697
lmeasure_axon_cleanup@0.5         0.9794  0.9450  0.9914  0.9445  0.8990  0.9298  0.6506  0.9454  0.9692
lmeasure_rf                       0.9795  0.9446  0.9923  0.9401  0.9013  0.8952  0.4808  0.9487  0.9596
lmeasure_lowconf@1.01             0.9795  0.9446  0.9923  0.9401  0.9013  0.8952  0.4808  0.9487  0.9596
v12                               0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_lowconf@0.5             0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_lowconf@0.7             0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_lowconf@0.8             0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_lowconf@0.9             0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_lowconf@0.95            0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_lowconf@1.01            0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_axon_cleanup@0.5        0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_axon_cleanup@0.7        0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_axon_cleanup@0.8        0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_axon_cleanup@0.9        0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
consensus_axon_cleanup@0.95       0.9791  0.9443  0.9912  0.9440  0.8979  0.9296  0.6480  0.9450  0.9685
