arm,round,n_labeled,n_curator_corrections,neurite_macro_f1,apical_f1,basal_f1,axon_f1,per_cell_f1_mean,per_cell_f1_p10,node_accuracy
flag,0,743,0,0.7215,0.7291,0.8808,0.5544,0.8035,0.4063,0.4917
flag,1,943,200,0.6979,0.6641,0.8842,0.5456,0.8146,0.4146,0.4852
flag,2,1143,400,0.7483,0.7824,0.8984,0.564,0.8316,0.4686,0.5027
flag,3,1343,600,0.77,0.8318,0.9079,0.5703,0.8373,0.4954,0.5096
flag,4,1543,800,0.7726,0.8392,0.9085,0.5702,0.8418,0.5046,0.51
flag,5,1743,1000,0.7784,0.8536,0.9113,0.5703,0.8447,0.5053,0.5113
flag,6,1943,1200,0.7803,0.857,0.9136,0.5704,0.8491,0.517,0.5119
flag,7,2143,1400,0.7779,0.8491,0.9134,0.5713,0.8473,0.509,0.512
flag,8,2343,1600,0.7746,0.8452,0.9097,0.569,0.8456,0.5076,0.5099
random,0,743,0,0.7215,0.7291,0.8808,0.5544,0.8035,0.4063,0.4917
random,1,943,200,0.7043,0.7016,0.8682,0.5432,0.8058,0.428,0.4834
random,2,1143,400,0.7272,0.7499,0.8792,0.5523,0.8143,0.4354,0.492
random,3,1343,600,0.741,0.7616,0.9004,0.5609,0.8236,0.4633,0.5005
random,4,1543,800,0.746,0.7766,0.9013,0.5603,0.8287,0.4832,0.501
random,5,1743,1000,0.7495,0.7804,0.9068,0.5612,0.8332,0.496,0.5026
random,6,1943,1200,0.7696,0.8317,0.9073,0.5698,0.8353,0.496,0.5092
random,7,2143,1400,0.7522,0.785,0.9094,0.5623,0.8341,0.4947,0.5039
random,8,2343,1600,0.7709,0.8336,0.9092,0.5698,0.8347,0.4951,0.5097
