arm,round,n_labeled,n_curator_corrections,neurite_macro_f1,apical_f1,basal_f1,axon_f1,per_cell_f1_mean,per_cell_f1_p10,node_accuracy
flag,0,747,0,0.7317,0.8027,0.898,0.4944,0.8142,0.4526,0.4494
flag,1,947,200,0.7177,0.7994,0.874,0.4796,0.8231,0.4804,0.4391
flag,2,1147,400,0.7418,0.8276,0.9009,0.4969,0.8298,0.5038,0.452
flag,3,1347,600,0.7493,0.8389,0.9096,0.4993,0.8375,0.5073,0.4547
flag,4,1547,800,0.7512,0.8437,0.9107,0.4993,0.8387,0.5038,0.4555
flag,5,1747,1000,0.7533,0.8567,0.9076,0.4956,0.8411,0.5073,0.4541
flag,6,1947,1200,0.7544,0.8563,0.9104,0.4965,0.8474,0.5228,0.4548
flag,7,2147,1400,0.7555,0.8593,0.9105,0.4966,0.8478,0.5276,0.4552
flag,8,2347,1600,0.7556,0.8607,0.9096,0.4964,0.8459,0.5148,0.4549
random,0,747,0,0.7317,0.8027,0.898,0.4944,0.8142,0.4526,0.4494
random,1,947,200,0.732,0.8258,0.8848,0.4853,0.8204,0.461,0.445
random,2,1147,400,0.7365,0.8232,0.8942,0.4921,0.8275,0.4967,0.449
random,3,1347,600,0.7371,0.8191,0.898,0.4942,0.8296,0.4967,0.4497
random,4,1547,800,0.7305,0.8212,0.8827,0.4875,0.8285,0.4801,0.4447
random,5,1747,1000,0.7405,0.8284,0.8992,0.4939,0.8359,0.4998,0.4504
random,6,1947,1200,0.7457,0.841,0.9028,0.4933,0.8361,0.4944,0.4514
random,7,2147,1400,0.744,0.8516,0.8921,0.4883,0.8375,0.5038,0.4483
random,8,2347,1600,0.7456,0.8484,0.8975,0.4907,0.8378,0.5038,0.4502
