method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,hpf_ca1__201983_017_edited.swc,pyramidal,10101,0.8489,0.7936
neurom_rf,hpf_ca1__201990_006_edited.swc,pyramidal,66497,0.9795,0.8113
neurom_rf,hpf_ca1__201990_018_edited.swc,pyramidal,8684,0.8543,0.7500
neurom_rf,hpf_ca1__201990_024_edited.swc,pyramidal,22256,0.9907,0.9732
neurom_rf,hpf_ca1__201990_025_edited.swc,pyramidal,86114,0.9912,0.9076
neurom_rf,hpf_ca1__201990_031_edited.swc,pyramidal,55514,0.9597,0.7718
neurom_rf,hpf_ca1__201990_041_edited.swc,pyramidal,50121,0.9688,0.8013
neurom_rf,hpf_ca1__201990_069_edited.swc,pyramidal,27674,0.9099,0.7089
neurom_rf,hpf_ca1__202217_016_edited.swc,pyramidal,26143,0.7888,0.6724
neurom_rf,hpf_ca1__202217_018_edited.swc,pyramidal,45687,0.9784,0.8389
neurom_rf,hpf_ca1__202217_021_edited.swc,pyramidal,22279,0.9725,0.8619
neurom_rf,hpf_ca1__202217_023_edited.swc,pyramidal,16882,0.9466,0.8681
neurom_rf,hpf_ca1__202219_003_edited.swc,pyramidal,16614,0.9705,0.9013
neurom_rf,hpf_ca1__202219_004_edited.swc,pyramidal,25888,0.9504,0.7575
neurom_rf,hpf_ca1__202219_006_edited.swc,pyramidal,63317,0.9540,0.7184
neurom_rf,hpf_ca1__202219_007_edited.swc,pyramidal,25135,0.9647,0.9546
neurom_rf,hpf_ca1__202219_014_edited.swc,pyramidal,5330,0.9024,0.8481
neurom_rf,hpf_ca1__202219_029_edited.swc,pyramidal,46427,0.9791,0.8464
neurom_rf,hpf_ca1__202219_032_edited.swc,pyramidal,30040,0.9412,0.8055
neurom_rf,hpf_ca1__202219_041_edited.swc,pyramidal,33018,0.9593,0.6867
neurom_rf,hpf_ca1__202225_004_edited.swc,pyramidal,44311,0.9673,0.8600
neurom_rf,hpf_ca1__202225_007_edited.swc,pyramidal,21347,0.7654,0.6397
neurom_rf,hpf_ca1__202225_009_edited.swc,pyramidal,28519,0.9131,0.8049
neurom_rf,hpf_ca1__202225_054_edited.swc,pyramidal,19882,0.7597,0.6804
neurom_rf,hpf_ca1__202226_006_edited.swc,pyramidal,70303,0.9698,0.7972
neurom_rf,hpf_ca1__202226_007_edited.swc,pyramidal,30190,0.9338,0.7713
neurom_rf,hpf_ca1__202226_009_edited.swc,pyramidal,40911,0.8720,0.7151
neurom_rf,hpf_ca1__202226_011_edited.swc,pyramidal,16855,0.9175,0.8440
neurom_rf,hpf_ca1__202226_022_edited.swc,pyramidal,21190,0.9032,0.7400
neurom_rf,hpf_ca1__202232_007_edited.swc,pyramidal,67100,0.8654,0.6739
neurom_rf,hpf_ca1__202232_073_edited.swc,pyramidal,92178,0.9845,0.8566
neurom_rf,hpf_ca1__202233_006_edited.swc,pyramidal,91730,0.9821,0.8684
neurom_rf,hpf_ca1__202233_017_edited.swc,pyramidal,55771,0.9867,0.9290
