method,file,cell_type,n_nodes,accuracy,neurite_macro_f1
neurom_rf,allen__H16.03.006.01.03.04_537313600.swc,pyramidal,25936,0.9353,0.9189
neurom_rf,allen__H16.03.008.11.11.02_542137330.swc,pyramidal,8238,0.8631,0.8552
neurom_rf,allen__H16.06.004.01.04.03_508282493.swc,pyramidal,10880,0.9472,0.9270
neurom_rf,allen__H16.06.010.01.01.10.02_529898751.swc,pyramidal,22644,0.7170,0.5653
neurom_rf,allen__H17.03.002.11.04.04_569844159.swc,pyramidal,5107,0.8052,0.8541
neurom_rf,allen__H17.03.010.11.13.06_601958555.swc,pyramidal,10449,0.8576,0.8781
neurom_rf,allen__H17.06.005.12.15.04_571471295.swc,pyramidal,17244,0.9234,0.7599
neurom_rf,allen__H17.06.005.12.16.03_571527806.swc,pyramidal,8165,0.8686,0.7390
neurom_rf,allen__H17.06.005.13.05.06_571500474.swc,pyramidal,5576,0.8868,0.9089
neurom_rf,allen__H17.06.006.11.08.02_571624532.swc,pyramidal,26161,0.9584,0.9075
neurom_rf,hpf_ca1__201983_012_edited.swc,pyramidal,9410,0.9374,0.8946
neurom_rf,hpf_ca1__201990_029_edited.swc,pyramidal,74990,0.9868,0.9141
neurom_rf,hpf_ca1__202217_014_edited.swc,pyramidal,31115,0.9624,0.8499
neurom_rf,hpf_ca1__202217_020_edited.swc,pyramidal,33093,0.9727,0.8546
neurom_rf,hpf_ca1__202217_022_edited.swc,pyramidal,13624,0.8900,0.7216
neurom_rf,hpf_ca1__202217_023_edited.swc,pyramidal,16882,0.9462,0.8702
neurom_rf,hpf_ca1__202219_002_edited.swc,pyramidal,18678,0.9553,0.8880
neurom_rf,hpf_ca1__202219_010_edited.swc,pyramidal,31281,0.9748,0.8791
neurom_rf,hpf_ca1__202219_020_edited.swc,pyramidal,47591,0.9492,0.7805
neurom_rf,hpf_ca1__202219_028_edited.swc,pyramidal,81215,0.9366,0.6720
neurom_rf,hpf_ca1__202219_031_edited.swc,pyramidal,15259,0.9339,0.7811
neurom_rf,hpf_ca1__202220_077_edited.swc,pyramidal,29822,0.9111,0.6839
neurom_rf,hpf_ca1__202224_002_edited.swc,pyramidal,3065,0.5051,0.5061
neurom_rf,hpf_ca1__202224_005_edited.swc,pyramidal,15471,0.6180,0.5762
neurom_rf,hpf_ca1__202225_004_edited.swc,pyramidal,44311,0.9690,0.8708
neurom_rf,hpf_ca1__202226_005_edited.swc,pyramidal,30905,0.9809,0.8823
neurom_rf,hpf_ca1__202226_012_edited.swc,pyramidal,30380,0.9325,0.8435
neurom_rf,hpf_ca1__202230_009_edited.swc,pyramidal,20282,0.8797,0.6953
neurom_rf,hpf_ca1__202230_010_edited.swc,pyramidal,23971,0.9682,0.8915
neurom_rf,hpf_ca1__202232_020_edited.swc,pyramidal,22249,0.9872,0.9463
neurom_rf,hpf_ca1__202232_022_edited.swc,pyramidal,118347,0.9962,0.9432
neurom_rf,hpf_ca1__202232_069_edited.swc,pyramidal,14507,0.9358,0.8317
neurom_rf,hpf_ca1__202232_071_edited.swc,pyramidal,16712,0.9910,0.9716
neurom_rf,hpf_ca1__202233_010_edited.swc,pyramidal,89353,0.9863,0.9289
neurom_rf,hpf_ca1__202233_014_edited.swc,pyramidal,21401,0.9841,0.9543
neurom_rf,hpf_ca1__202234_014_edited.swc,pyramidal,13715,0.9565,0.8739
neurom_rf,hpf_ca1__202234_019_edited.swc,pyramidal,32901,0.9577,0.8199
neurom_rf,hpf_ca1__202234_026_edited.swc,pyramidal,105116,0.9919,0.8537
neurom_rf,hpf_ca1__202237_014_edited.swc,pyramidal,82589,0.9878,0.9069
neurom_rf,hpf_ca1__202237_022_edited.swc,pyramidal,37107,0.9897,0.9519
neurom_rf,hpf_ca1__202237_028_edited.swc,pyramidal,29490,0.9766,0.8486
neurom_rf,hpf_ca1__202237_030_edited.swc,pyramidal,37085,0.9799,0.8000
neurom_rf,hpf_ca1__202237_148_edited.swc,pyramidal,20025,0.9298,0.7547
neurom_rf,hpf_ca1__202237_155_edited.swc,pyramidal,48853,0.9878,0.8931
neurom_rf,hpf_ca1__202238_010_edited.swc,pyramidal,40434,0.9875,0.9066
neurom_rf,hpf_ca1__202238_011_edited.swc,pyramidal,31386,0.9898,0.9441
neurom_rf,hpf_ca1__202238_016_edited.swc,pyramidal,19790,0.9763,0.9033
neurom_rf,hpf_ca1__202238_020_edited.swc,pyramidal,57572,0.9898,0.8960
neurom_rf,hpf_ca1__202238_037_edited.swc,pyramidal,30131,0.9652,0.8483
neurom_rf,hpf_ca1__202239_001_edited.swc,pyramidal,102203,0.9211,0.6758
neurom_rf,hpf_ca1__202239_002_edited.swc,pyramidal,53262,0.9563,0.7158
neurom_rf,hpf_ca1__202239_003_edited.swc,pyramidal,66236,0.9315,0.5916
neurom_rf,hpf_ca1__202240_013_edited.swc,pyramidal,61254,0.9766,0.8775
neurom_rf,hpf_ca1__202240_017_edited.swc,pyramidal,41036,0.9427,0.6967
neurom_rf,hpf_ca1__202240_021_edited.swc,pyramidal,18234,0.9532,0.8680
neurom_rf,hpf_ca1__202240_038_edited.swc,pyramidal,33672,0.9800,0.9271
neurom_rf,hpf_ca1__202240_041_edited.swc,pyramidal,56404,0.9167,0.8062
neurom_rf,hpf_ca1__202241_005_edited.swc,pyramidal,22133,0.9639,0.8431
neurom_rf,hpf_ca1__202241_012_edited.swc,pyramidal,12322,0.9467,0.8781
neurom_rf,hpf_ca1__202242_002_edited.swc,pyramidal,29425,0.9034,0.7596
neurom_rf,hpf_ca1__202242_004_edited.swc,pyramidal,11334,0.9239,0.8385
neurom_rf,hpf_ca1__202242_006_edited.swc,pyramidal,25594,0.8520,0.6922
neurom_rf,hpf_ca1__202243_005_edited.swc,pyramidal,31496,0.9343,0.6958
neurom_rf,hpf_ca1__202243_010_edited.swc,pyramidal,20445,0.8501,0.6947
neurom_rf,hpf_ca1__202243_015_edited.swc,pyramidal,6058,0.7635,0.7521
neurom_rf,hpf_ca1__202244_004_edited.swc,pyramidal,18757,0.9100,0.7411
neurom_rf,hpf_ca1__202244_005_edited.swc,pyramidal,16774,0.9395,0.8624
neurom_rf,hpf_ca1__202244_019_edited.swc,pyramidal,2467,0.6498,0.5588
neurom_rf,hpf_ca1__202246_001_edited.swc,pyramidal,32941,0.7232,0.5397
neurom_rf,hpf_ca1__202246_024_edited.swc,pyramidal,61272,0.9137,0.7116
neurom_rf,hpf_ca1__202246_025_edited.swc,pyramidal,31673,0.9637,0.8539
