path,rel_path,cell_type,source,n_bytes,parseable,non_empty,has_soma,single_root,no_orphan,has_neurites,radius_positive,coords_finite,reasonable_size,n_nodes,n_soma,n_axon,n_basal,n_apical,n_other,n_roots,n_orphan,n_custom_type_nodes_raw,custom_type_values_raw,n_soma_raw,n_soma_groups,n_soma_nodes_removed,n_nodes_raw,qc_pass,qc_reason
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.001.01.09.01_519832676.swc,pyramidal/swc/allen__H16.03.001.01.09.01_519832676.swc,pyramidal,allen,414397,True,True,True,True,True,True,True,True,True,9319,1,2645,4250,2423,0,1,0,0,,1,1,0,9319,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.002.01.03.03_520631294.swc,pyramidal/swc/allen__H16.03.002.01.03.03_520631294.swc,pyramidal,allen,569911,True,True,True,False,True,True,True,True,True,12621,1,3915,4173,4532,0,2,0,0,,1,1,0,12621,False,fail: single_root
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.002.01.06.01_520454345.swc,pyramidal/swc/allen__H16.03.002.01.06.01_520454345.swc,pyramidal,allen,487163,True,True,True,True,True,True,True,True,True,10817,1,2303,4125,4388,0,1,0,0,,1,1,0,10817,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.003.01.18.01_525133308.swc,pyramidal/swc/allen__H16.03.003.01.18.01_525133308.swc,pyramidal,allen,403625,True,True,True,True,True,True,True,True,True,9118,1,6842,1075,1200,0,1,0,0,,1,1,0,9118,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.005.01.03.02_526725807.swc,pyramidal/swc/allen__H16.03.005.01.03.02_526725807.swc,pyramidal,allen,449957,True,True,True,True,True,True,True,True,True,9770,1,1440,3918,4411,0,1,0,0,,1,1,0,9770,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.005.01.04.03_526727406.swc,pyramidal/swc/allen__H16.03.005.01.04.03_526727406.swc,pyramidal,allen,626879,True,True,True,True,True,True,True,True,True,13921,1,7451,2925,3544,0,1,0,0,,1,1,0,13921,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.005.01.06.01_526714733.swc,pyramidal/swc/allen__H16.03.005.01.06.01_526714733.swc,pyramidal,allen,591475,True,True,True,True,True,True,True,True,True,13146,1,7203,1741,4201,0,1,0,0,,1,1,0,13146,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.005.01.09.01_526785799.swc,pyramidal/swc/allen__H16.03.005.01.09.01_526785799.swc,pyramidal,allen,444786,True,True,True,True,True,True,True,True,True,10088,1,4344,2242,3501,0,1,0,0,,1,1,0,10088,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.005.01.09.04_526800653.swc,pyramidal/swc/allen__H16.03.005.01.09.04_526800653.swc,pyramidal,allen,1233695,True,True,True,True,True,True,True,True,True,26398,1,12535,4983,8879,0,1,0,0,,1,1,0,26398,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\allen__H16.03.006.01.03.01_537218493.swc,pyramidal/swc/allen__H16.03.006.01.03.01_537218493.swc,pyramidal,allen,894578,True,True,True,False,True,True,True,True,True,19619,1,11329,3020,5269,0,2,0,0,,1,1,0,19619,False,fail: single_root
