path,rel_path,cell_type,source,n_bytes,parseable,non_empty,has_soma,single_root,no_orphan,has_neurites,radius_positive,coords_finite,reasonable_size,n_nodes,n_soma,n_axon,n_basal,n_apical,n_other,n_roots,n_orphan,n_custom_type_nodes_raw,custom_type_values_raw,n_soma_raw,n_soma_groups,n_soma_nodes_removed,n_nodes_raw,qc_pass,qc_reason
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__201983_009_edited.swc,pyramidal/swc/hpf_ca1__201983_009_edited.swc,pyramidal,hpf_ca1,922050,True,True,True,True,True,True,True,True,True,16375,1,13721,932,1721,0,1,0,17,"10:15,12:2",1,1,0,16375,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__201983_010_edited.swc,pyramidal/swc/hpf_ca1__201983_010_edited.swc,pyramidal,hpf_ca1,2365181,True,True,True,True,True,True,True,True,True,41412,1,36800,2545,2066,0,1,0,39,"10:38,12:1",1,1,0,41412,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__201983_012_edited.swc,pyramidal/swc/hpf_ca1__201983_012_edited.swc,pyramidal,hpf_ca1,521742,True,True,True,True,True,True,True,True,True,9410,1,5919,1222,2268,0,1,0,2,10:2,1,1,0,9410,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__201983_017_edited.swc,pyramidal/swc/hpf_ca1__201983_017_edited.swc,pyramidal,hpf_ca1,560511,True,True,True,True,True,True,True,True,True,10101,1,5895,1380,2825,0,1,0,2,10:2,1,1,0,10101,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__201983_047_edited.swc,pyramidal/swc/hpf_ca1__201983_047_edited.swc,pyramidal,hpf_ca1,1020052,True,True,True,True,True,True,True,True,True,18073,1,14914,1077,2081,0,1,0,5,10:5,1,1,0,18073,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__201983_055_edited.swc,pyramidal/swc/hpf_ca1__201983_055_edited.swc,pyramidal,hpf_ca1,2107942,True,True,True,True,True,True,True,True,True,36950,1,31596,1888,3465,0,1,0,4,10:4,1,1,0,36950,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__201990_001_edited.swc,pyramidal/swc/hpf_ca1__201990_001_edited.swc,pyramidal,hpf_ca1,4411426,True,True,True,True,True,True,True,True,True,76917,1,74571,2345,0,0,1,0,38,"10:27,12:11",1,1,0,76917,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__201990_002_edited.swc,pyramidal/swc/hpf_ca1__201990_002_edited.swc,pyramidal,hpf_ca1,1473310,True,True,True,True,True,True,True,True,True,25829,1,22079,952,2797,0,1,0,133,"0:109,10:7,11:3,12:14",1,1,109,25938,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__201990_003_edited.swc,pyramidal/swc/hpf_ca1__201990_003_edited.swc,pyramidal,hpf_ca1,2414593,True,True,True,True,True,True,True,True,True,42263,1,36207,2009,4046,0,1,0,17,10:17,1,1,0,42263,True,
D:\Desktop\swc-autolabel-ml\data\v12_uncurated\pyramidal\swc\hpf_ca1__201990_004_edited.swc,pyramidal/swc/hpf_ca1__201990_004_edited.swc,pyramidal,hpf_ca1,3553163,True,True,True,True,True,True,True,True,True,62023,1,58097,1386,2539,0,1,0,4,"10:3,12:1",1,1,0,62023,True,
