name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
allen__Chat-IRES-Cre-neo_Ai14-280699.05.02.01_557261437.swc,5500,interneuron,True,0.8756,0.9171,0.9004,0,1797,3702
allen__Chat-IRES-Cre-neo_Ai14-280700.06.01.01_556968207.swc,11669,interneuron,True,1.0,1.0,1.0,0,2474,9194
allen__Chat-IRES-Cre-neo_Ai14-287662.04.02.01_562003142.swc,3841,interneuron,True,0.6015,0.7344,0.603,0,2572,1268
allen__Chat-IRES-Cre-neo_Ai14-299537.04.02.01_570438732.swc,4145,interneuron,True,0.7494,0.833,0.7612,0,2120,2024
allen__Chat-IRES-Cre-neo_Ai14-307622.05.02.01_575774870.swc,7562,interneuron,True,0.7662,0.8441,0.8131,0,2793,4768
allen__Chat-IRES-Cre-neo_Ai14-308245.04.02.01_577369606.swc,8424,interneuron,True,0.8505,0.9003,0.8859,0,2642,5781
allen__Chat-IRES-Cre-neo_Ai14-308247.03.02.01_578774163.swc,5826,interneuron,True,1.0,1.0,1.0,0,2601,3224
allen__Chat-IRES-Cre-neo_Ai14-308248.03.02.01_577218602.swc,3989,interneuron,True,1.0,1.0,1.0,0,2839,1149
allen__Chat-IRES-Cre-neo_Ai14-313177.04.02.01_582613001.swc,4760,interneuron,True,0.6894,0.7929,0.7447,0,1983,2776
allen__Chat-IRES-Cre-neo_Ai14-313181.04.02.01_582644266.swc,4292,interneuron,True,0.6685,0.779,0.6927,0,2226,2065
allen__Chat-IRES-Cre-neo_Ai14-313182.03.01.01_583138230.swc,6147,interneuron,True,0.5905,0.727,0.6266,0,3308,2838
allen__Chat-IRES-Cre-neo_Ai14-313182.04.02.01_583138568.swc,7022,interneuron,True,0.7033,0.8022,0.7764,0,2553,4468
allen__Chat-IRES-Cre-neo_Ai14-313182.05.02.01_583146274.swc,3445,interneuron,True,0.3771,0.5847,0.6055,0,2085,1359
allen__Chat-IRES-Cre-neo_Ai14-316041.04.02.01_587045566.swc,4601,interneuron,True,0.6936,0.7958,0.6944,0,2892,1708
allen__Chat-IRES-Cre-neo_Ai14-316042.03.01.01_586071425.swc,7603,interneuron,True,0.6684,0.7789,0.8063,0,2087,5515
allen__Chat-IRES-Cre-neo_Ai14-316042.05.01.01_586072188.swc,4879,interneuron,True,0.7223,0.8148,0.7383,0,2493,2385
allen__Chat-IRES-Cre-neo_Ai14-316042.05.02.01_586072464.swc,6544,interneuron,True,0.7547,0.8365,0.7714,0,3167,3376
allen__Chat-IRES-Cre-neo_Ai14-316042.06.01.01_586072783.swc,9284,interneuron,True,0.7182,0.8121,0.7775,0,3546,5737
allen__Chat-IRES-Cre-neo_Ai14-316043.04.02.01_585925172.swc,5673,interneuron,True,0.7675,0.845,0.8202,0,1996,3676
allen__Chat-IRES-Cre-neo_Ai14-316043.05.01.01_585944237.swc,7466,interneuron,True,0.8541,0.9027,0.8729,0,2867,4598
allen__Chat-IRES-Cre-neo_Ai14-316043.05.01.02_585946742.swc,5914,interneuron,True,0.7622,0.8415,0.8476,0,1635,4278
allen__Chrna2-Cre_OE25_Ai14(BT)-280154.04.01.01_555241040.swc,14536,interneuron,True,0.9357,0.9571,0.9657,0,2550,11985
allen__Chrna2-Cre_OE25_Ai14(BT)-281693.05.01.01_555001065.swc,11648,interneuron,True,1.0,1.0,1.0,0,3485,8162
allen__Chrna2-Cre_OE25_Ai14(BT)-281693.06.01.01_555019563.swc,17646,interneuron,True,1.0,1.0,1.0,0,2059,15586
allen__Chrna2-Cre_OE25_Ai14(IVSCC)-294465.05.01.01_566671538.swc,7902,interneuron,True,0.7759,0.8506,0.8424,0,2421,5480
allen__Chrna2-Cre_OE25_Ai14(IVSCC)-294467.03.01.01_566761793.swc,18011,interneuron,True,0.8246,0.8831,0.9513,0,1790,16220
allen__Chrna2-Cre_OE25_Ai14(IVSCC)-294916.03.01.01_567312865.swc,32827,interneuron,True,1.0,1.0,1.0,0,5649,27177
allen__Chrna2-Cre_OE25_Ai14(IVSCC)-294916.03.01.02_567354967.swc,14375,interneuron,True,0.9311,0.954,0.9644,0,2447,11927
