name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
allen__H16.03.001.01.09.01_519832676.swc,9319,pyramidal,True,0.5927,0.6945,0.74,2423,4250,2645
allen__H16.03.002.01.03.03_520631294.swc,12621,pyramidal,True,1.0,1.0,1.0,4532,4173,3915
allen__H16.03.002.01.06.01_520454345.swc,10817,pyramidal,True,0.2606,0.4454,0.3814,4388,4125,2303
allen__H16.03.003.01.18.01_525133308.swc,9118,interneuron,False,0.5473,0.6604,0.8684,1200,1075,6842
allen__H16.03.005.01.03.02_526725807.swc,9770,pyramidal,True,0.5466,0.66,0.5485,4411,3918,1440
allen__H16.03.005.01.04.03_526727406.swc,13921,pyramidal,True,0.5409,0.6557,0.7454,3544,2925,7451
allen__H16.03.005.01.06.01_526714733.swc,13146,pyramidal,True,1.0,1.0,1.0,4201,1741,7203
allen__H16.03.005.01.09.01_526785799.swc,10088,interneuron,False,0.5205,0.6404,0.653,3501,2242,4344
allen__H16.03.005.01.09.04_526800653.swc,26398,pyramidal,True,0.5096,0.6322,0.6636,8879,4983,12535
allen__H16.03.006.01.03.01_537218493.swc,19619,interneuron,False,0.5114,0.6335,0.7314,5269,3020,11329
allen__H16.03.006.01.03.04_537313600.swc,25936,pyramidal,True,0.5433,0.6575,0.7126,7454,6343,12138
allen__H16.03.006.01.04.01_537204107.swc,25937,interneuron,False,0.5472,0.6604,0.7898,5453,4882,15601
allen__H16.03.006.01.04.02_537261100.swc,30565,interneuron,False,0.5703,0.6777,0.8061,5928,7287,17349
allen__H16.03.006.01.04.03_537297470.swc,15185,pyramidal,True,0.5263,0.6447,0.6163,5826,4004,5354
allen__H16.03.006.01.05.05_537313158.swc,20489,interneuron,False,0.4147,0.561,0.7232,5671,916,13901
allen__H16.03.006.01.09.02_537266147.swc,22350,interneuron,False,0.5454,0.659,0.8089,4271,3734,14344
allen__H16.03.007.01.01.03.02_541540569.swc,20291,interneuron,False,0.4766,0.6074,0.7752,3497,3064,13729
allen__H16.03.007.01.01.04.03_541545716.swc,16352,interneuron,False,0.5761,0.682,0.8464,2511,3363,10477
allen__H16.03.007.01.01.08.07_541563728.swc,10650,pyramidal,True,0.5176,0.6382,0.6014,4245,2624,3780
allen__H16.03.008.11.11.02_542137330.swc,8238,pyramidal,True,0.4545,0.5909,0.5639,2835,2385,3017
allen__H16.03.008.11.11.03_542143598.swc,9364,interneuron,False,0.5163,0.6372,0.7569,2276,1384,5703
allen__H16.03.010.13.05.03_545612828.swc,30272,pyramidal,True,1.0,1.0,1.0,8735,10558,10978
allen__H16.03.011.11.16.03_558211203.swc,5764,pyramidal,True,0.7229,0.7922,0.8737,3283,1548,932
allen__H16.06.004.01.03.05_508309649.swc,31486,interneuron,False,0.5482,0.6611,0.8968,3249,2945,25291
allen__H16.06.004.01.04.01_508279351.swc,10529,pyramidal,True,0.5516,0.6637,0.6201,4000,3792,2736
