name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
hpf_ca1__201983_009_edited.swc,16375,pyramidal,True,0.5066,0.63,0.8948,1721,932,13704
hpf_ca1__201983_010_edited.swc,41412,pyramidal,True,0.5478,0.6609,0.9415,2066,2542,36764
hpf_ca1__201983_012_edited.swc,9410,pyramidal,True,0.5062,0.6297,0.7589,2268,1222,5917
hpf_ca1__201983_017_edited.swc,10101,pyramidal,True,0.1063,0.3297,0.1367,2825,1380,5893
hpf_ca1__201983_047_edited.swc,18073,pyramidal,True,0.5029,0.6272,0.8848,2081,1077,14909
hpf_ca1__201983_055_edited.swc,36950,pyramidal,True,0.5072,0.6304,0.9062,3465,1888,31592
hpf_ca1__201990_002_edited.swc,25938,pyramidal,True,0.4682,0.6011,0.8916,2797,950,22057
hpf_ca1__201990_003_edited.swc,42263,pyramidal,True,0.4994,0.6246,0.9042,4046,2009,36190
hpf_ca1__201990_004_edited.swc,62023,pyramidal,True,0.5073,0.6305,0.9591,2539,1386,58093
hpf_ca1__201990_006_edited.swc,66497,pyramidal,True,0.5392,0.6544,0.9684,2102,1698,62684
hpf_ca1__201990_016_edited.swc,51220,pyramidal,True,0.5215,0.6411,0.9617,1961,1271,47975
hpf_ca1__201990_018_edited.swc,8684,pyramidal,True,0.5758,0.6818,0.8686,1140,1520,6018
hpf_ca1__201990_021_edited.swc,82871,pyramidal,True,0.5423,0.6567,0.9736,2186,1836,78834
hpf_ca1__201990_024_edited.swc,22256,pyramidal,True,0.5301,0.6475,0.9253,1661,1196,19367
hpf_ca1__201990_025_edited.swc,86114,pyramidal,True,0.568,0.676,0.9794,1772,2107,82234
hpf_ca1__201990_026_edited.swc,36019,pyramidal,True,0.5624,0.6718,0.9374,2254,2477,31281
hpf_ca1__201990_027_edited.swc,70301,pyramidal,True,0.5393,0.6545,0.9651,2454,1985,65845
hpf_ca1__201990_028_edited.swc,22295,pyramidal,True,0.4285,0.5714,0.8978,2277,455,19550
hpf_ca1__201990_029_edited.swc,74990,pyramidal,True,0.5347,0.651,0.9669,2482,1894,70589
hpf_ca1__201990_033_edited.swc,53260,pyramidal,True,0.5499,0.6624,0.9733,1422,1319,50507
hpf_ca1__201990_034_edited.swc,44572,pyramidal,True,0.4579,0.5934,0.9386,2735,816,41015
hpf_ca1__201990_035_edited.swc,30354,pyramidal,True,0.4843,0.6132,0.9442,1692,700,27953
hpf_ca1__201990_066_edited.swc,5246,interneuron,False,0.5929,0.6947,0.7948,928,1863,2452
hpf_ca1__202054_009_edited.swc,37107,interneuron,False,0.5567,0.6675,0.9751,925,939,35232
hpf_ca1__202054_010_edited.swc,17276,pyramidal,True,0.5374,0.653,0.9402,1033,815,15420
hpf_ca1__202054_012_edited.swc,14929,pyramidal,True,0.5029,0.6271,0.9003,1488,770,12662
hpf_ca1__202217_014_edited.swc,31115,pyramidal,True,0.5108,0.6331,0.9483,1609,916,28587
hpf_ca1__202217_018_edited.swc,45687,pyramidal,True,0.5468,0.6601,0.9683,1446,1288,42952
hpf_ca1__202217_020_edited.swc,33093,pyramidal,True,0.4872,0.6154,0.9536,1535,658,30898
hpf_ca1__202217_021_edited.swc,22279,pyramidal,True,0.9997,0.9997,1.0,1262,768,20247
hpf_ca1__202217_022_edited.swc,13624,pyramidal,True,0.4606,0.5955,0.8586,1926,595,11097
hpf_ca1__202217_023_edited.swc,16882,pyramidal,True,0.5052,0.6289,0.8719,2162,1151,13567
hpf_ca1__202217_024_edited.swc,25379,pyramidal,True,0.491,0.6183,0.9318,1731,777,22868
hpf_ca1__202217_025_edited.swc,28854,pyramidal,True,0.4878,0.6158,0.94,1731,747,26373
hpf_ca1__202219_002_edited.swc,18678,pyramidal,True,1.0,1.0,1.0,1623,1521,15532
hpf_ca1__202219_003_edited.swc,16614,pyramidal,True,1.0,1.0,1.0,1595,904,14112
hpf_ca1__202219_005_edited.swc,78591,pyramidal,True,0.5085,0.6314,0.9564,3207,2116,73243
hpf_ca1__202219_006_edited.swc,63317,pyramidal,True,0.5104,0.6328,0.9469,3361,1905,58036
hpf_ca1__202219_008_edited.swc,42555,pyramidal,True,0.6049,0.7036,0.9701,2574,1278,38689
hpf_ca1__202219_010_edited.swc,31281,pyramidal,True,0.9689,0.9767,0.9961,1239,1356,28684
hpf_ca1__202219_029_edited.swc,46427,pyramidal,True,0.5115,0.6336,0.958,1950,1119,43348
hpf_ca1__202219_031_edited.swc,15259,interneuron,False,0.5138,0.6354,0.9096,1379,814,13061
hpf_ca1__202224_005_edited.swc,15471,pyramidal,True,0.4321,0.5741,0.6047,6115,1287,8066
