name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__02-10-14-A.swc,3914,pyramidal,False,0.3358,0.5572,0.5056,0,1978,1935
neuromorpho__02-10-14-B1.swc,3125,pyramidal,False,0.1973,0.4649,0.2461,0,2897,227
neuromorpho__02-10-14-B2.swc,6283,pyramidal,False,0.3868,0.5912,0.6309,0,3963,2319
neuromorpho__02-10-14-C.swc,9299,pyramidal,False,1.0,1.0,1.0,0,3862,5436
neuromorpho__03-10-14-A.swc,1584,pyramidal,False,0.4707,0.6472,0.8895,0,1408,175
neuromorpho__03-10-14-B.swc,3745,interneuron,True,0.8448,0.8965,0.8449,0,1988,1756
neuromorpho__04-08-15-B.swc,2014,interneuron,True,0.2308,0.4872,0.3004,0,1895,118
neuromorpho__051217_cell1_L1.swc,3331,interneuron,True,1.0,1.0,1.0,0,726,2604
neuromorpho__051217_cell2_L1.swc,3880,interneuron,True,0.8436,0.8957,0.9562,0,379,3500
neuromorpho__051217_cell3_L23.swc,4272,interneuron,True,1.0,1.0,1.0,0,240,4031
neuromorpho__051217_cell4_L23.swc,5927,interneuron,True,0.9311,0.9541,0.9882,0,301,5625
neuromorpho__051217_cell6_L1.swc,3309,interneuron,True,1.0,1.0,1.0,0,96,3212
neuromorpho__06-11-15-B.swc,16105,interneuron,True,0.8976,0.9318,0.9444,0,3056,13048
neuromorpho__061217_cell2_L1.swc,5387,interneuron,True,0.5462,0.6974,0.9642,0,205,5181
neuromorpho__061217_cell3_L1.swc,5705,interneuron,True,1.0,1.0,1.0,0,539,5165
neuromorpho__061217_cell4_L23.swc,1794,interneuron,True,0.8517,0.9011,0.932,0,298,1495
neuromorpho__061217_cell5_L23.swc,6006,interneuron,True,1.0,1.0,1.0,0,521,5484
neuromorpho__061217_cell7_L5.swc,7142,interneuron,True,0.9657,0.9772,0.992,0,472,6669
neuromorpho__061217_cell8_L5.swc,1411,interneuron,True,1.0,1.0,1.0,0,127,1283
neuromorpho__071207_cell1_L1.swc,2351,interneuron,True,1.0,1.0,1.0,0,151,2199
neuromorpho__071217_cell3_L1.swc,3399,interneuron,True,1.0,1.0,1.0,0,97,3301
neuromorpho__08-10-14-A.swc,15319,interneuron,True,1.0,1.0,1.0,0,2930,12388
neuromorpho__08-10-15-C.swc,606,interneuron,True,0.4271,0.6181,0.7459,0,451,154
neuromorpho__081217_cell1_L1GFP.swc,3528,interneuron,True,0.9992,0.9994,0.9997,0,326,3201
neuromorpho__081217_cell5_L23.swc,1733,interneuron,True,0.0451,0.5226,0.0237,0,1732,0
neuromorpho__08oct2015c3.swc,1248,pyramidal,False,0.7287,0.8191,0.8365,0,290,957
neuromorpho__10-07-15-A.swc,11201,interneuron,True,1.0,1.0,1.0,0,1124,10076
neuromorpho__110412-s3-2.swc,21668,interneuron,True,1.0,1.0,1.0,0,216,21451
neuromorpho__13-01-15-B.swc,12679,interneuron,True,0.7887,0.8592,0.795,0,6396,6282
neuromorpho__13-1-15-A-A2.swc,4588,interneuron,True,0.8504,0.9002,0.9422,0,364,4223
neuromorpho__13-1-15-A-A3.swc,1032,interneuron,True,1.0,1.0,1.0,0,931,100
neuromorpho__13-1-15-A-A4.swc,1591,interneuron,True,0.4603,0.6402,0.8529,0,1558,32
