name,n_nodes,predicted_cell_type,stage1_correct,neurite_macro_f1,macro_f1,accuracy,n_apical_gt,n_basal_gt,n_axon_gt
neuromorpho__02-Neurone1.swc,662,interneuron,False,0.2711,0.4533,0.3927,283,334,44
neuromorpho__03_13_17_2_6.swc,12955,pyramidal,True,0.8262,0.8841,0.6827,0,7967,4987
neuromorpho__05_24_18_3_1_8.swc,8278,pyramidal,True,1.0,1.0,1.0,0,3999,4278
neuromorpho__081017RF4.swc,2285,pyramidal,True,0.5796,0.6847,0.8184,1282,587,415
neuromorpho__08_23_16_1_8.swc,6306,interneuron,False,1.0,1.0,1.0,0,3515,2790
neuromorpho__09_06_16_1_9.swc,11146,pyramidal,True,0.8655,0.9103,0.6942,0,8037,3108
neuromorpho__09_13_16_1_5.swc,5993,interneuron,False,1.0,1.0,1.0,0,3398,2594
neuromorpho__09_20_16_1_7.swc,9763,pyramidal,True,0.7476,0.8317,0.5206,0,6975,2787
neuromorpho__09_20_16_2_6.swc,10875,pyramidal,True,0.795,0.8633,0.6109,0,7276,3598
neuromorpho__1-c.swc,3096,pyramidal,True,0.3075,0.5383,0.4441,0,3073,22
neuromorpho__10-c.swc,1364,pyramidal,True,0.4974,0.6649,0.9897,0,1349,14
neuromorpho__10-d.swc,2386,pyramidal,True,0.3055,0.537,0.4401,0,2368,17
neuromorpho__100-Neurone-2.swc,713,interneuron,False,0.2493,0.437,0.2637,399,287,26
neuromorpho__10209c1.swc,1935,interneuron,False,0.5209,0.6407,0.6202,630,889,415
neuromorpho__10223c4.swc,1944,interneuron,False,0.283,0.4622,0.5787,773,1124,46
neuromorpho__10224c1.swc,2025,interneuron,False,1.0,1.0,1.0,0,1585,439
neuromorpho__10224c2.swc,802,pyramidal,True,1.0,1.0,1.0,0,527,274
neuromorpho__10225c1.swc,932,pyramidal,True,0.5307,0.648,0.6835,295,214,422
neuromorpho__10304c1.swc,1477,pyramidal,True,0.6546,0.7409,0.9736,919,518,39
neuromorpho__10309c1.swc,1957,pyramidal,True,1.0,1.0,1.0,866,765,325
neuromorpho__10315c1.swc,915,pyramidal,True,1.0,1.0,1.0,394,271,249
neuromorpho__10315c3.swc,919,interneuron,False,0.1511,0.3633,0.2938,632,269,17
neuromorpho__10331c1.swc,1597,pyramidal,True,0.6575,0.7432,0.98,995,569,32
