seed,ablation,ablation_label,file,cell_type_gt,stage1_pred,stage1_conf,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
123,stage2_only_gt_celltype,Stage2 only (GT cell type),allen__H16.03.002.01.06.01_520454345.swc,pyramidal,,,10817,0.717112,0.599600,1.000000,0.105300,0.991400,0.702000,1,1117,4055,5644
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),allen__H16.03.002.01.06.01_520454345.swc,pyramidal,,,10817,0.717112,0.596000,1.000000,0.105300,0.963900,0.718700,1,1117,4289,5410
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),allen__H16.03.002.01.06.01_520454345.swc,pyramidal,,,10817,0.787094,0.593900,1.000000,0.000000,0.781800,1.000000,1,0,6428,4388
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),allen__H16.03.002.01.06.01_520454345.swc,pyramidal,,,10817,0.787094,0.593900,1.000000,0.000000,0.781800,1.000000,1,0,6428,4388
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),allen__H16.03.002.01.06.01_520454345.swc,pyramidal,pyramidal,0.980792,10817,0.787094,0.593900,1.000000,0.000000,0.781800,1.000000,1,0,6428,4388
123,stage2_only_gt_celltype,Stage2 only (GT cell type),allen__H16.03.006.01.09.02_537266147.swc,pyramidal,,,22350,0.956600,0.946800,1.000000,0.967300,0.984600,0.888500,1,15314,3621,3414
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),allen__H16.03.006.01.09.02_537266147.swc,pyramidal,,,22350,0.956600,0.946800,1.000000,0.967300,0.984600,0.888500,1,15314,3621,3414
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),allen__H16.03.006.01.09.02_537266147.swc,pyramidal,,,22350,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14344,3734,4271
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),allen__H16.03.006.01.09.02_537266147.swc,pyramidal,,,22350,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14344,3734,4271
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),allen__H16.03.006.01.09.02_537266147.swc,pyramidal,interneuron,0.903388,22350,0.808904,0.545400,1.000000,1.000000,0.636200,0.000000,1,14344,8005,0
