seed,ablation,ablation_label,n_test_cells,accuracy,neurite_macro_f1,axon_f1,basal_f1,apical_f1,per_cell_accuracy_mean,per_cell_accuracy_p10,per_cell_f1_mean,per_cell_f1_p10,per_cell_f1_p25,pyramidal_neurite_f1,pyramidal_apical_f1,interneuron_neurite_f1,stage1_accuracy,stage1_wrong
123,stage2_only_gt_celltype,Stage2 only (GT cell type),2402,0.969300,0.921900,0.985300,0.920900,0.859600,0.932642,0.760135,0.900380,0.626090,0.927325,0.929900,0.866700,0.942000,,
123,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),2402,0.969400,0.921600,0.985300,0.920800,0.858900,0.929547,0.741401,0.896867,0.613220,0.912700,0.929500,0.866100,0.942000,,
123,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),2402,0.981800,0.949300,0.993600,0.946900,0.907300,0.952171,0.884565,0.912193,0.626030,1.000000,0.950600,0.914700,0.972100,,
123,full_branch3_gt_celltype,Full Branch3 (GT cell type),2402,0.982300,0.950900,0.993600,0.949200,0.909800,0.954526,0.921844,0.919096,0.651010,1.000000,0.952800,0.917100,0.972100,,
123,full_branch3_stage1_active,Full Branch3 (Stage1 active),2402,0.982000,0.949400,0.993600,0.948000,0.906500,0.952601,0.897059,0.915400,0.642160,1.000000,0.951500,0.914800,0.971800,0.971274,69
42,stage2_only_gt_celltype,Stage2 only (GT cell type),2328,0.972200,0.930400,0.985900,0.927300,0.878100,0.941009,0.806096,0.910878,0.647470,0.937600,0.939300,0.884600,0.941000,,
42,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),2328,0.971900,0.928200,0.985900,0.926100,0.872700,0.937898,0.782004,0.907215,0.640910,0.920175,0.936700,0.879400,0.941000,,
42,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),2328,0.984700,0.957200,0.994100,0.954500,0.922900,0.962223,0.945981,0.925891,0.654420,1.000000,0.960500,0.929700,0.970000,,
42,full_branch3_gt_celltype,Full Branch3 (GT cell type),2328,0.985000,0.958900,0.994100,0.955400,0.927000,0.961258,0.948397,0.930132,0.659040,1.000000,0.962500,0.933700,0.970000,,
42,full_branch3_stage1_active,Full Branch3 (Stage1 active),2328,0.983300,0.951600,0.993800,0.951500,0.909600,0.955228,0.922799,0.923252,0.654000,1.000000,0.954700,0.917600,0.969500,0.968643,73
789,stage2_only_gt_celltype,Stage2 only (GT cell type),2293,0.968800,0.923300,0.983600,0.928600,0.857800,0.939442,0.799971,0.909650,0.641680,0.929800,0.929500,0.858600,0.943300,,
789,stage2_gnn_gt_celltype,Stage2 + GNN (GT cell type),2293,0.967500,0.917200,0.983600,0.924900,0.843200,0.933336,0.761647,0.901158,0.617540,0.910300,0.922200,0.844000,0.943300,,
789,stage2_gnn_stage3_gt_celltype,Stage2 + GNN + Stage3 (GT cell type),2293,0.981800,0.951100,0.992500,0.954300,0.906600,0.957559,0.922338,0.920033,0.651300,1.000000,0.952500,0.907400,0.969500,,
789,full_branch3_gt_celltype,Full Branch3 (GT cell type),2293,0.982300,0.953200,0.992400,0.955900,0.911200,0.958766,0.937975,0.926049,0.656280,1.000000,0.955000,0.912000,0.969500,,
789,full_branch3_stage1_active,Full Branch3 (Stage1 active),2293,0.981400,0.949800,0.992200,0.954600,0.902500,0.955791,0.922051,0.922440,0.654340,1.000000,0.952300,0.906500,0.969100,0.981683,42
