group,label,total_cells,qc_pass_cells,qc_fail_cells,qc_pass_rate,median_nodes_qc_pass,mean_nodes_qc_pass
overall,all,21054,11862,9192,0.5634083784554004,1352.5,7880.296408700051
cell_type,interneuron,10144,3374,6770,0.3326104100946372,3612.5,8502.963544754
cell_type,pyramidal,10910,8488,2422,0.7780018331805683,917.5,7632.784754948162
source,allen,299,203,96,0.6789297658862876,11792.0,13074.980295566502
source,hpf_ca1,1377,1358,19,0.9862018881626725,31055.5,36283.29970544919
source,neuromorpho,19378,10301,9077,0.5315822066260708,1009.0,4033.5049024366567
source_cell_type,allen:interneuron,197,126,71,0.6395939086294417,11976.5,12641.619047619048
source_cell_type,allen:pyramidal,102,77,25,0.7549019607843137,11405.0,13784.116883116883
source_cell_type,hpf_ca1:pyramidal,1377,1358,19,0.9862018881626725,31055.5,36283.29970544919
source_cell_type,neuromorpho:interneuron,9947,3248,6699,0.32653061224489793,3439.5,8342.412253694582
source_cell_type,neuromorpho:pyramidal,9431,7053,2378,0.7478528257872972,684.0,2049.195944987948
