scope,feature_mode,test_seed,selected_model,selected_feature_set,n_train,n_val,n_test,n_bad_test,bad_rate_test,before_f1_mean,before_f1_p10,test_ap,test_auc,model_path,operating_point,target_value,validation_precision,validation_recall,score_threshold,reject_rate,n_rejected,precision_lt_target,recall_lt_target,binary_accuracy,kept_f1_p10,rejected_f1_mean,tp,fp,fn,tn,kept_f1_mean,kept_f1_p25
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,validation_recall,0.8,0.375,0.8095238095238095,0.4105653888826246,0.1652789342214821,397,0.32997481108312343,0.6208530805687204,0.8559533721898418,0.9659800000000001,0.7454566750629723,131,266,80,1925,,
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,fixed_reject_rate,0.1,,,,0.1,240,0.38333333333333336,0.43601895734597157,0.888842631140716,0.8461500000000002,0.7038445833333333,92,148,119,2043,0.95075934320074,1.0
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,validation_recall,0.8,0.2964824120603015,0.8082191780821918,0.4499754580544375,0.1799828178694158,419,0.2720763723150358,0.6745562130177515,0.845360824742268,0.99174,0.7971140811455847,114,305,55,1854,,
all,compact,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42479657405339655,0.8577771321919254,paper/models/final_flag_multiseed_loso/all_compact_testseed42_f060.joblib,fixed_reject_rate,0.1,,,,0.1,233,0.39914163090128757,0.5502958579881657,0.9072164948453608,0.9521999999999999,0.7204180257510729,93,140,76,2019,0.9635898806682578,1.0
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,validation_recall,0.8,0.2857142857142857,0.8,0.1590395997118397,0.23724378543392935,544,0.21507352941176472,0.7905405405405406,0.8002616659398168,1.0,0.825561580882353,117,427,31,1718,,
all,compact,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.3487723374530717,0.8770963270963271,paper/models/final_flag_multiseed_loso/all_compact_testseed789_f060.joblib,fixed_reject_rate,0.1,,,,0.1,229,0.35807860262008734,0.5540540540540541,0.907108591365024,0.97444,0.7441366812227075,82,147,66,1998,0.965510222868217,1.0
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,validation_recall,0.8,0.38345864661654133,0.8095238095238095,0.2996942793070407,0.17277268942547877,415,0.3349397590361446,0.6587677725118484,0.855120732722731,0.9768,0.742963373493976,139,276,72,1915,,
all,branch3,123,hgb,full,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.43470751880428415,0.8502945050951652,paper/models/final_flag_multiseed_loso/all_branch3_testseed123_f060.joblib,fixed_reject_rate,0.1,,,,0.1,240,0.44583333333333336,0.5071090047393365,0.9013322231473772,0.90742,0.6654141666666666,107,133,104,2058,0.9550254394079556,1.0
all,branch3,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42655550075184756,0.8601752400163346,paper/models/final_flag_multiseed_loso/all_branch3_testseed42_f060.joblib,validation_recall,0.8,0.2822966507177033,0.8082191780821918,0.439226769409262,0.19845360824742267,462,0.2683982683982684,0.7337278106508875,0.8354810996563574,0.9953000000000001,0.8053941558441559,124,338,45,1821,,
all,branch3,42,extra_trees,no_lab,2835,953,2328,169,0.07259450171821306,0.9392518041237113,0.6742400000000002,0.42655550075184756,0.8601752400163346,paper/models/final_flag_multiseed_loso/all_branch3_testseed42_f060.joblib,fixed_reject_rate,0.1,,,,0.1,233,0.3948497854077253,0.5443786982248521,0.9063573883161512,0.94974,0.7235751072961374,92,141,77,2018,0.9632387589498808,1.0
all,branch3,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.35271885138767795,0.8783878283878285,paper/models/final_flag_multiseed_loso/all_branch3_testseed789_f060.joblib,validation_recall,0.8,0.26666666666666666,0.8,0.14330508643776693,0.25032708242477103,574,0.21428571428571427,0.831081081081081,0.7924116877453118,1.0,0.8292172473867595,123,451,25,1694,,
all,branch3,789,hgb,full,2856,958,2293,148,0.06454426515481901,0.9434018316615785,0.78374,0.35271885138767795,0.8783878283878285,paper/models/final_flag_multiseed_loso/all_branch3_testseed789_f060.joblib,fixed_reject_rate,0.1,,,,0.1,229,0.35807860262008734,0.5540540540540541,0.907108591365024,0.97872,0.7387065502183405,82,147,66,1998,0.9661126937984496,1.0
