scope,feature_mode,operating_point,target_value,precision_lt_target_mean,precision_lt_target_sd,recall_lt_target_mean,recall_lt_target_sd,n_rejected_mean,fp_mean,fn_mean,kept_f1_p10_mean,test_ap_mean
all,baseline_oof,fixed_reject_rate,0.1,0.4337713681220625,0.0444645294202585,0.581503184948318,0.0325811930025993,234.0,132.33333333333334,74.33333333333333,0.95752,0.4794066030390386
all,branch3,fixed_reject_rate,0.1,0.3995872404537153,0.0440687621890286,0.5351805856727475,0.0247873631046386,234.0,140.33333333333334,82.33333333333333,0.9452933333333332,0.4046606236479366
all,compact,fixed_reject_rate,0.1,0.3801845222849027,0.0207118162209329,0.5134562897960637,0.0670890181188918,234.0,145.0,87.0,0.9242633333333332,0.3854810318781083
all,v12_oof,fixed_reject_rate,0.1,0.4308601599706796,0.048170001874401,0.5769986804438135,0.0259147121840117,234.0,133.0,75.0,0.96111,0.4741164977616869
all,baseline_oof,validation_recall,0.8,0.3227860017171999,0.0476989622569824,0.749547452609793,0.0890124129319189,408.6666666666667,278.0,45.333333333333336,0.9954366666666666,0.4794066030390386
all,branch3,validation_recall,0.8,0.2725412472400424,0.0604336233724426,0.7411922214146056,0.0863988260832057,483.6666666666667,355.0,47.333333333333336,0.9907,0.4046606236479366
all,compact,validation_recall,0.8,0.2723749042699746,0.057451222558152,0.6953166113756707,0.0867277586641477,453.3333333333333,332.6666666666667,55.333333333333336,0.9859066666666668,0.3854810318781083
all,v12_oof,validation_recall,0.8,0.3273990460306811,0.0471067975742232,0.7336462700115636,0.109724434312919,394.0,266.3333333333333,48.333333333333336,0.9939566666666666,0.4741164977616869
interneuron,baseline_oof,fixed_reject_rate,0.1,0.2139658215163044,0.043263698003669,0.4816835336285052,0.0304534880990066,67.0,52.66666666666666,15.333333333333334,1.0,0.2461780361676887
interneuron,branch3,fixed_reject_rate,0.1,0.1939145626590754,0.0528879259208195,0.4342979127134724,0.0732131135391397,67.0,54.0,16.666666666666668,1.0,0.236933791681483
interneuron,compact,fixed_reject_rate,0.1,0.1988896870371848,0.0445201298387892,0.4481868016023613,0.0588907236730651,67.0,53.66666666666666,16.333333333333332,1.0,0.2363170652715213
interneuron,v12_oof,fixed_reject_rate,0.1,0.2286717038692456,0.0588344349284584,0.5139415981446342,0.0859220487862356,67.0,51.66666666666666,14.333333333333334,1.0,0.3115912900440528
interneuron,baseline_oof,validation_recall,0.8,0.1880899399333886,0.0439127420613203,0.5972749314779676,0.1196405683626267,95.66666666666669,78.33333333333333,12.333333333333334,1.0,0.2461780361676887
interneuron,branch3,validation_recall,0.8,0.1380308476486459,0.0492589864972872,0.7726649799704828,0.1968264748285629,182.66666666666663,160.0,7.0,1.0,0.236933791681483
interneuron,compact,validation_recall,0.8,0.1372440883935136,0.054506644120271,0.7726649799704828,0.1968264748285629,188.33333333333331,165.66666666666666,7.0,1.0,0.2363170652715213
interneuron,v12_oof,validation_recall,0.8,0.1734873261302603,0.0472530449857311,0.5910025300442757,0.1075251085819498,103.33333333333331,86.0,12.333333333333334,1.0,0.3115912900440528
pyramidal,baseline_oof,fixed_reject_rate,0.1,0.5566993388624741,0.0656424158897305,0.6441976751737126,0.0599384997545044,167.33333333333334,74.0,53.0,0.8965166666666665,0.611822736529761
pyramidal,branch3,fixed_reject_rate,0.1,0.5133398643531127,0.0523960046698075,0.5959940788695902,0.0710408459896771,167.33333333333334,81.33333333333333,60.333333333333336,0.8741500000000001,0.4819710085853511
pyramidal,compact,fixed_reject_rate,0.1,0.4998375793510355,0.0496920559890899,0.582395793266629,0.0884873203018325,167.33333333333334,83.66666666666667,62.66666666666666,0.8684333333333333,0.4852363746110409
pyramidal,v12_oof,fixed_reject_rate,0.1,0.5503982725281714,0.0625123263613764,0.636054289239561,0.0382180048454991,167.33333333333334,75.0,54.0,0.8973333333333334,0.6066731537522035
pyramidal,baseline_oof,validation_recall,0.8,0.5287315039555419,0.1428479403262846,0.7005293384019277,0.1473034401147704,200.0,100.33333333333331,46.66666666666666,0.9007866666666668,0.611822736529761
pyramidal,branch3,validation_recall,0.8,0.4140261263793335,0.1956201789471538,0.7127945371078042,0.1406726952315072,307.0,205.33333333333331,44.66666666666666,0.9193333333333332,0.4819710085853511
pyramidal,compact,validation_recall,0.8,0.3963783518639633,0.1906181502471738,0.730159301053515,0.123036976476266,328.3333333333333,223.66666666666663,41.66666666666666,0.9336166666666668,0.4852363746110409
pyramidal,v12_oof,validation_recall,0.8,0.5288044497991872,0.1316325662107453,0.6836061615722633,0.1556983561196011,194.66666666666663,97.33333333333331,49.0,0.8964233333333335,0.6066731537522035
