scope,feature_mode,test_seed,selected_model,selected_feature_set,n_train,n_val,n_test,n_bad_test,bad_rate_test,before_f1_mean,before_f1_p10,test_ap,test_auc,model_path,operating_point,target_value,validation_precision,validation_recall,score_threshold,reject_rate,n_rejected,precision_lt_target,recall_lt_target,binary_accuracy,kept_f1_p10,rejected_f1_mean,tp,fp,fn,tn,kept_f1_mean,kept_f1_p25
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,validation_recall,0.5,0.4444444444444444,0.5079365079365079,0.5821273972277745,0.10074937552039967,242,0.38016528925619836,0.43601895734597157,0.8880099916736053,0.8521500000000001,0.7055615702479339,92,150,119,2041,,
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,validation_recall,0.7,0.36585365853658536,0.7142857142857143,0.4528930727414978,0.14529558701082432,349,0.3467048710601719,0.5734597156398105,0.8676103247293921,0.94832,0.7366467048710601,121,228,90,1963,,
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,validation_recall,0.8,0.375,0.8095238095238095,0.4105653888826246,0.1652789342214821,397,0.32997481108312343,0.6208530805687204,0.8559533721898418,0.9659800000000001,0.7454566750629723,131,266,80,1925,,
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,validation_recall,0.9,0.30978260869565216,0.9047619047619048,0.31497210392527264,0.2206494587843464,530,0.2981132075471698,0.7488151658767772,0.8230641132389676,0.9915200000000001,0.7706645283018868,158,372,53,1819,,
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,validation_precision,0.7,0.0,0.0,inf,0.0,0,0.0,0.0,0.9121565362198168,0.6341800000000001,,0,0,211,2191,,
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,validation_precision,0.8,0.0,0.0,inf,0.0,0,0.0,0.0,0.9121565362198168,0.6341800000000001,,0,0,211,2191,,
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,validation_precision,0.9,0.0,0.0,inf,0.0,0,0.0,0.0,0.9121565362198168,0.6341800000000001,,0,0,211,2191,,
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,fixed_reject_rate,0.05,,,,0.05,120,0.44166666666666665,0.25118483412322273,0.9063280599500416,0.7339000000000001,0.6594466666666666,53,67,158,2124,0.940109903593339,1.0
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,fixed_reject_rate,0.1,,,,0.1,240,0.38333333333333336,0.43601895734597157,0.888842631140716,0.8461500000000002,0.7038445833333333,92,148,119,2043,0.95075934320074,1.0
all,compact,123,rf,numeric_only,2778,910,2402,211,0.08784346378018318,0.9260884263114071,0.6341800000000001,0.38287418412785656,0.8590096062954654,paper/models/final_flag_multiseed_loso/all_compact_testseed123_f060.joblib,fixed_reject_rate,0.15,,,,0.15,360,0.3416666666666667,0.5829383886255924,0.8646960865945046,0.94992,0.7374383333333333,123,237,88,1954,0.9593470127326151,1.0
