seed,file,cell_type,baseline_method,metric,v12_value,baseline_value,diff
123,allen__Chat-IRES-Cre-neo_Ai14-307622.05.02.01_575774870.swc,interneuron,lmeasure_rf,accuracy,0.81314500,0.81310000,0.00004500
123,allen__Chat-IRES-Cre-neo_Ai14-313182.05.02.01_583146274.swc,interneuron,lmeasure_rf,accuracy,0.58635700,0.59560000,-0.00924300
123,allen__Chat-IRES-Cre-neo_Ai14-316042.05.01.01_586072188.swc,interneuron,lmeasure_rf,accuracy,0.73826600,0.73830000,-0.00003400
123,allen__Gad2-IRES-Cre_Ai14-324791.03.02.02_593321019.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H16.03.002.01.06.01_520454345.swc,pyramidal,lmeasure_rf,accuracy,0.78709400,1.00000000,-0.21290600
123,allen__H16.03.006.01.09.02_537266147.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H16.03.007.01.01.03.02_541540569.swc,pyramidal,lmeasure_rf,accuracy,0.94751400,0.94750000,0.00001400
123,allen__H16.06.004.01.04.03_508282493.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H16.06.008.01.25.03_527941296.swc,pyramidal,lmeasure_rf,accuracy,0.95192000,0.95190000,0.00002000
123,allen__H16.06.009.01.02.03.01_528636794.swc,pyramidal,lmeasure_rf,accuracy,0.56043800,0.79720000,-0.23676200
123,allen__H16.06.010.01.01.10.01_529889679.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H16.06.010.01.03.04.01_529807751.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H16.06.011.01.01.05.03_539653924.swc,pyramidal,lmeasure_rf,accuracy,0.99333900,0.99330000,0.00003900
123,allen__H16.06.012.11.06.01_548408551.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H16.06.012.11.08.03_548440226.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H17.03.002.11.06.03_569821470.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H17.03.009.11.11.06_613442532.swc,pyramidal,lmeasure_rf,accuracy,0.76428700,0.76430000,-0.00001300
123,allen__H17.06.005.12.12.03_571525618.swc,interneuron,lmeasure_rf,accuracy,0.88865700,0.88870000,-0.00004300
123,allen__H17.06.009.11.04.03_596028822.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H17.06.009.11.04.04_596036453.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H17.06.013.12.03.01_643572206.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__H17.06.013.12.03.02_643575207.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__Htr3a-Cre_NO152_Ai14-288785.03.02.01_561985849.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__Ndnf-IRES2-dgCre_Ai14-292673.05.01.01_564346637.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__Nkx2-1-CreERT2_Ai14_(IVSCC)-294491.03.01.01_566541912.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__Nos1-CreERT2_Sst-IRES-FlpO_Ai65-271577.05.02.01_547262585.swc,interneuron,lmeasure_rf,accuracy,0.89016400,0.89020000,-0.00003600
123,allen__Oxtr-2A-Cre_Ai14-293839.02.02.02_565415071.swc,interneuron,lmeasure_rf,accuracy,0.93580200,0.93580000,0.00000200
123,allen__Oxtr-2A-Cre_Ai14-293839.06.01.01_565417112.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__Oxtr-2A-Cre_Ai14-293841.05.02.01_565462089.swc,interneuron,lmeasure_rf,accuracy,0.96617500,0.96620000,-0.00002500
123,allen__Oxtr-T2A-Cre_Ai14-314785.03.01.02_584231995.swc,interneuron,lmeasure_rf,accuracy,0.86542500,0.86540000,0.00002500
123,allen__Pvalb-IRES-Cre_Ai14-305768.04.02.01_574992320.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__Sst-IRES-Cre_Ai14-306888.04.02.01_575642695.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,allen__Vip-IRES-Cre_Ai14-299123.04.01.01_570896413.swc,interneuron,lmeasure_rf,accuracy,0.77754100,0.77750000,0.00004100
123,allen__Vipr2-IRES2-Cre_Slc32a1-T2A-FlpO_Ai65-315067.05.01.01_585805211.swc,interneuron,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__201983_017_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__201990_006_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__201990_018_edited.swc,pyramidal,lmeasure_rf,accuracy,0.86872400,0.86870000,0.00002400
123,hpf_ca1__201990_024_edited.swc,pyramidal,lmeasure_rf,accuracy,0.94626200,0.94630000,-0.00003800
123,hpf_ca1__201990_025_edited.swc,pyramidal,lmeasure_rf,accuracy,0.97942300,0.97910000,0.00032300
123,hpf_ca1__201990_031_edited.swc,pyramidal,lmeasure_rf,accuracy,0.96152300,0.96150000,0.00002300
123,hpf_ca1__201990_041_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__201990_069_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202217_016_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202217_018_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
123,hpf_ca1__202217_021_edited.swc,pyramidal,lmeasure_rf,accuracy,0.99995500,1.00000000,-0.00004500
123,hpf_ca1__202217_023_edited.swc,pyramidal,lmeasure_rf,accuracy,1.00000000,1.00000000,0.00000000
