file,n_nodes_conf,stage1_pred_conf_run,stage1_conf_conf_run,pred_axon_conf_run,pred_basal_conf_run,pred_apical_conf_run,node_label_disagree_frac,node_conf_abs_delta_mean,branch3_changed_frac,branch3_label_disagree_frac,branch3_conf_abs_delta_mean,branch3_axon_delta_frac,branch3_basal_delta_frac,branch3_apical_delta_frac,branch3_to_apical_frac,branch3_from_apical_frac,conf_mean,conf_std,conf_min,conf_p05,conf_p10,conf_p25,conf_median,conf_frac_lt_05,conf_frac_lt_06,conf_frac_lt_07,conf_frac_lt_08,conf_frac_lt_09,axon_conf_mean,axon_conf_p10,axon_conf_frac_lt_07,basal_conf_mean,basal_conf_p10,basal_conf_frac_lt_07,apical_conf_mean,apical_conf_p10,apical_conf_frac_lt_07,n_pred_branches,branch_conf_mean,branch_conf_min,branch_conf_p10,branch_frac_conf_lt_07,branch_frac_conf_lt_08,branch_n_nodes_p90,pred_soma_z,pred_axon_z_extent,pred_axon_z_mean_rel_soma,pred_axon_z_std,pred_axon_x_extent,pred_axon_y_extent,pred_basal_z_extent,pred_basal_z_mean_rel_soma,pred_basal_z_std,pred_basal_x_extent,pred_basal_y_extent,pred_apical_z_extent,pred_apical_z_mean_rel_soma,pred_apical_z_std,pred_apical_x_extent,pred_apical_y_extent,xmodel_neurom_rf_s1_axon_frac,xmodel_neurom_rf_s1_basal_frac,xmodel_neurom_rf_s1_apical_frac,xmodel_neurom_rf_s1_class_count,xmodel_neurom_rf_s1_v12_l1_frac_delta,xmodel_neurom_rf_s1_v12_apical_frac_delta,xmodel_neurom_rf_s1_v12_apical_zero_mismatch,xmodel_neurom_rf_s1_v12_axon_zero_mismatch,xmodel_neurom_rf_pyr_axon_frac,xmodel_neurom_rf_pyr_basal_frac,xmodel_neurom_rf_pyr_apical_frac,xmodel_neurom_rf_pyr_class_count,xmodel_neurom_rf_pyr_v12_l1_frac_delta,xmodel_neurom_rf_pyr_v12_apical_frac_delta,xmodel_neurom_rf_pyr_v12_apical_zero_mismatch,xmodel_neurom_rf_pyr_v12_axon_zero_mismatch,xmodel_lmeasure_rf_s1_axon_frac,xmodel_lmeasure_rf_s1_basal_frac,xmodel_lmeasure_rf_s1_apical_frac,xmodel_lmeasure_rf_s1_class_count,xmodel_lmeasure_rf_s1_v12_l1_frac_delta,xmodel_lmeasure_rf_s1_v12_apical_frac_delta,xmodel_lmeasure_rf_s1_v12_apical_zero_mismatch,xmodel_lmeasure_rf_s1_v12_axon_zero_mismatch,xmodel_lmeasure_rf_pyr_axon_frac,xmodel_lmeasure_rf_pyr_basal_frac,xmodel_lmeasure_rf_pyr_apical_frac,xmodel_lmeasure_rf_pyr_class_count,xmodel_lmeasure_rf_pyr_v12_l1_frac_delta,xmodel_lmeasure_rf_pyr_v12_apical_frac_delta,xmodel_lmeasure_rf_pyr_v12_apical_zero_mismatch,xmodel_lmeasure_rf_pyr_v12_axon_zero_mismatch,xmodel_sholl_rf_s1_axon_frac,xmodel_sholl_rf_s1_basal_frac,xmodel_sholl_rf_s1_apical_frac,xmodel_sholl_rf_s1_class_count,xmodel_sholl_rf_s1_v12_l1_frac_delta,xmodel_sholl_rf_s1_v12_apical_frac_delta,xmodel_sholl_rf_s1_v12_apical_zero_mismatch,xmodel_sholl_rf_s1_v12_axon_zero_mismatch,xmodel_sholl_rf_pyr_axon_frac,xmodel_sholl_rf_pyr_basal_frac,xmodel_sholl_rf_pyr_apical_frac,xmodel_sholl_rf_pyr_class_count,xmodel_sholl_rf_pyr_v12_l1_frac_delta,xmodel_sholl_rf_pyr_v12_apical_frac_delta,xmodel_sholl_rf_pyr_v12_apical_zero_mismatch,xmodel_sholl_rf_pyr_v12_axon_zero_mismatch,xmodel_sholl_mlp_s1_axon_frac,xmodel_sholl_mlp_s1_basal_frac,xmodel_sholl_mlp_s1_apical_frac,xmodel_sholl_mlp_s1_class_count,xmodel_sholl_mlp_s1_v12_l1_frac_delta,xmodel_sholl_mlp_s1_v12_apical_frac_delta,xmodel_sholl_mlp_s1_v12_apical_zero_mismatch,xmodel_sholl_mlp_s1_v12_axon_zero_mismatch,xmodel_sholl_mlp_pyr_axon_frac,xmodel_sholl_mlp_pyr_basal_frac,xmodel_sholl_mlp_pyr_apical_frac,xmodel_sholl_mlp_pyr_class_count,xmodel_sholl_mlp_pyr_v12_l1_frac_delta,xmodel_sholl_mlp_pyr_v12_apical_frac_delta,xmodel_sholl_mlp_pyr_v12_apical_zero_mismatch,xmodel_sholl_mlp_pyr_v12_axon_zero_mismatch,xmodel_s1_l1_mean,xmodel_s1_l1_max,xmodel_s1_l1_std,xmodel_s1_apical_delta_mean,xmodel_s1_apical_delta_max,xmodel_s1_apical_delta_std,xmodel_s1_apical_present_mean,xmodel_s1_apical_present_max,xmodel_s1_apical_present_std,xmodel_s1_axon_present_mean,xmodel_s1_axon_present_max,xmodel_s1_axon_present_std,xmodel_s1_class_count_mean,xmodel_s1_class_count_max,xmodel_s1_class_count_std,xmodel_s1_apical_present_vote_frac,xmodel_s1_axon_present_vote_frac,xmodel_s1_apical_presence_disagreement,xmodel_s1_axon_presence_disagreement,xmodel_pyr_l1_mean,xmodel_pyr_l1_max,xmodel_pyr_l1_std,xmodel_pyr_apical_delta_mean,xmodel_pyr_apical_delta_max,xmodel_pyr_apical_delta_std,xmodel_pyr_apical_present_mean,xmodel_pyr_apical_present_max,xmodel_pyr_apical_present_std,xmodel_pyr_axon_present_mean,xmodel_pyr_axon_present_max,xmodel_pyr_axon_present_std,xmodel_pyr_class_count_mean,xmodel_pyr_class_count_max,xmodel_pyr_class_count_std,xmodel_pyr_apical_present_vote_frac,xmodel_pyr_axon_present_vote_frac,xmodel_pyr_apical_presence_disagreement,xmodel_pyr_axon_presence_disagreement,xmodel_stage1_pred_is_pyramidal,xmodel_v12_apical_frac,xmodel_v12_axon_frac,xmodel_v12_basal_frac
allen__Chat-IRES-Cre-neo_Ai14-307622.05.02.01_575774870.swc,7562,interneuron,0.99232,4769,2792,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.944961,0.181506,0.3,0.3,0.971335,0.999666,0.999757,0.0723354,0.0723354,0.0724676,0.079873,0.079873,0.999173,0.999757,0.000209688,0.852342,0.3,0.195917,0.0,0.0,0.0,262,0.971843,0.3,0.971335,0.0343511,0.0419847,67.7,40.32,84.8193,3.34423,19.0098,408.662,372.825,73.5851,2.86716,12.5356,442.318,455.184,0.0,0.0,0.0,0.0,0.0,0.6308689326808623,0.3691310673191377,0.0,2.0,0.00026451527575716005,0.0,0.0,0.0,0.6463430763126571,0.1743155667239783,0.17934135696336465,3.0,0.389895516466076,0.17934135696336465,1.0,0.0,0.8174844597275492,0.18251554027245073,0.0,2.0,0.3734955693691311,0.0,0.0,0.0,0.8174844597275492,0.18251554027245073,0.0,2.0,0.3734955693691311,0.0,0.0,0.0,0.8174844597275492,0.18251554027245073,0.0,2.0,0.3734955693691311,0.0,0.0,0.0,0.8174844597275492,0.18251554027245073,0.0,2.0,0.3734955693691311,0.0,0.0,0.0,0.8174844597275492,0.18251554027245073,0.0,2.0,0.3734955693691311,0.0,0.0,0.0,0.9091390027774104,0.0908609972225896,0.0,2.0,0.5568046554688534,0.0,0.0,0.0,0.2801878058457876,0.3734955693691311,0.1616137871630529,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.42342282766829786,0.5568046554688534,0.07729853625135975,0.04483533924084116,0.17934135696336465,0.07765708553972352,0.25,1.0,0.4330127018922193,1.0,1.0,0.0,2.25,3.0,0.4330127018922193,0.25,1.0,1.0,0.0,0.0,0.0,0.6307366750429837,0.36926332495701625
allen__Chat-IRES-Cre-neo_Ai14-313182.05.02.01_583146274.swc,3445,interneuron,0.862919,0,3444,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.959337,0.0941614,0.3,0.933333,0.933333,0.971335,0.971335,0.0191582,0.0191582,0.0191582,0.0191582,0.0191582,0.0,0.0,0.0,0.959325,0.933333,0.0191638,0.0,0.0,0.0,99,0.965889,0.3,0.933333,0.0,0.010101,81.8,10.08,0.0,0.0,0.0,0.0,0.0,54.0666,10.204,11.8707,404.19,593.641,0.0,0.0,0.0,0.0,0.0,0.4096980255516841,0.5903019744483159,0.0,2.0,0.8193960511033682,0.0,0.0,1.0,0.4181184668989547,0.15795586527293845,0.42392566782810687,3.0,1.684088269454123,0.42392566782810687,1.0,1.0,0.7990708478513356,0.20092915214866433,0.0,2.0,1.5981416957026713,0.0,0.0,1.0,0.7990708478513356,0.20092915214866433,0.0,2.0,1.5981416957026713,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20092915214866433,0.7990708478513356,2.0,1.5981416957026713,0.7990708478513356,1.0,0.0,0.6043844367015099,1.5981416957026713,0.6641431658157745,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,1.5,2.0,0.5,0.0,0.5,0.0,1.0,1.2200929152148665,1.684088269454123,0.7052942952005492,0.3057491289198606,0.7990708478513356,0.3332780642302853,0.5,1.0,0.5,0.5,1.0,0.5,2.0,3.0,0.7071067811865476,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0
allen__Chat-IRES-Cre-neo_Ai14-316042.05.01.01_586072188.swc,4879,interneuron,0.995505,2937,1941,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902884,0.224396,0.3,0.3,0.3,0.971335,0.999666,0.115597,0.115597,0.115597,0.167247,0.167247,0.867774,0.3,0.187947,0.955961,0.759067,0.00618238,0.0,0.0,0.0,166,0.898174,0.3,0.3,0.126506,0.162651,66.5,17.08,34.4929,-4.91433,6.6281,283.663,590.834,92.3807,11.217,18.8419,226.165,438.204,0.0,0.0,0.0,0.0,0.0,0.494669946699467,0.505330053300533,0.0,2.0,0.2148421484214842,0.0,0.0,0.0,0.4928249282492825,0.2097170971709717,0.2974579745797458,3.0,0.5949159491594915,0.2974579745797458,1.0,0.0,0.7507175071750718,0.24928249282492826,0.0,2.0,0.2972529725297254,0.0,0.0,0.0,0.7507175071750718,0.24928249282492826,0.0,2.0,0.2972529725297254,0.0,0.0,0.0,0.7507175071750718,0.24928249282492826,0.0,2.0,0.2972529725297254,0.0,0.0,0.0,0.7507175071750718,0.24928249282492826,0.0,2.0,0.2972529725297254,0.0,0.0,0.0,0.7507175071750718,0.24928249282492826,0.0,2.0,0.2972529725297254,0.0,0.0,0.0,0.7507175071750718,0.0,0.24928249282492826,2.0,0.7958179581795819,0.24928249282492826,1.0,0.0,0.2766502665026651,0.2972529725297254,0.035684933612273956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.49630996309963105,0.7958179581795819,0.2113501541241124,0.13668511685116852,0.2974579745797458,0.1377422622106454,0.5,1.0,0.5,1.0,1.0,0.0,2.25,3.0,0.4330127018922193,0.5,1.0,1.0,0.0,0.0,0.0,0.602091020910209,0.3979089790897909
allen__Gad2-IRES-Cre_Ai14-324791.03.02.02_593321019.swc,9202,interneuron,0.996845,8286,915,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982268,0.105909,0.3,0.972519,0.999666,0.999757,0.999757,0.0234732,0.0234732,0.0234732,0.0234732,0.0234732,0.980345,0.999757,0.0260681,0.999666,0.999666,0.0,0.0,0.0,0.0,344,0.994347,0.3,0.999666,0.00581395,0.00581395,55.0,18.5469,152.872,45.9058,35.5054,455.366,392.959,52.9315,2.21139,11.1227,150.29,211.822,0.0,0.0,0.0,0.0,0.0,0.9005542875774373,0.09944571242256277,0.0,2.0,0.0,0.0,0.0,0.0,0.9005542875774373,0.09944571242256277,0.0,2.0,0.0,0.0,0.0,0.0,0.9005542875774373,0.09944571242256277,0.0,2.0,0.0,0.0,0.0,0.0,0.9005542875774373,0.09944571242256277,0.0,2.0,0.0,0.0,0.0,0.0,0.9005542875774373,0.09944571242256277,0.0,2.0,0.0,0.0,0.0,0.0,0.9005542875774373,0.09944571242256277,0.0,2.0,0.0,0.0,0.0,0.0,0.9005542875774373,0.09944571242256277,0.0,2.0,0.0,0.0,0.0,0.0,0.9005542875774373,0.09944571242256277,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9005542875774373,0.09944571242256277
allen__H16.03.002.01.06.01_520454345.swc,10817,pyramidal,0.980792,2303,4125,4388,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909518,0.207333,0.3,0.3,0.3,0.970458,0.982145,0.103263,0.103263,0.103263,0.103263,0.108718,0.908848,0.841767,0.0781589,0.976033,0.987703,0.0169697,0.847321,0.3,0.197584,186,0.961542,0.3,0.940918,0.0322581,0.0322581,144.0,27.6013,92.3801,14.2445,18.2716,693.775,314.807,92.3768,5.46235,21.0029,414.994,265.771,81.76,11.3943,15.8781,483.157,823.805,0.1812130177514793,0.37629437869822485,0.44249260355029585,3.0,0.07359467455621302,0.03679733727810652,0.0,0.0,0.1812130177514793,0.37629437869822485,0.44249260355029585,3.0,0.07359467455621302,0.03679733727810652,0.0,0.0,0.21292529585798817,0.3813794378698225,0.4056952662721893,3.0,0.0,0.0,0.0,0.0,0.21292529585798817,0.3813794378698225,0.4056952662721893,3.0,0.0,0.0,0.0,0.0,0.0,0.3813794378698225,0.6186205621301775,2.0,0.4258505917159763,0.21292529585798814,0.0,1.0,0.0,0.3813794378698225,0.6186205621301775,2.0,0.4258505917159763,0.21292529585798814,0.0,1.0,0.0,0.3813794378698225,0.6186205621301775,2.0,0.4258505917159763,0.21292529585798814,0.0,1.0,0.0,0.3813794378698225,0.6186205621301775,2.0,0.4258505917159763,0.21292529585798814,0.0,1.0,0.2313239644970414,0.4258505917159763,0.19625909077684484,0.1156619822485207,0.21292529585798814,0.09812954538842242,1.0,1.0,0.0,0.5,1.0,0.5,2.5,3.0,0.5,1.0,0.5,0.0,1.0,0.2313239644970414,0.4258505917159763,0.19625909077684484,0.1156619822485207,0.21292529585798814,0.09812954538842242,1.0,1.0,0.0,0.5,1.0,0.5,2.5,3.0,0.5,1.0,0.5,0.0,1.0,1.0,0.4056952662721893,0.21292529585798817,0.3813794378698225
allen__H16.03.006.01.09.02_537266147.swc,22350,interneuron,0.903388,14344,8005,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598784,0.346098,0.3,0.3,0.3,0.3,0.3,0.572975,0.572975,0.572975,0.572975,0.572975,0.422348,0.3,0.825153,0.914885,0.3,0.121174,0.0,0.0,0.0,252,0.627352,0.3,0.3,0.535714,0.551587,203.9,36.4,128.195,34.0394,32.3388,1327.52,1238.01,102.948,6.87776,18.6419,803.481,507.746,0.0,0.0,0.0,0.0,0.0,0.6520202246185511,0.3479797753814488,0.0,2.0,0.020403597476397195,0.0,0.0,0.0,0.6418184258803525,0.1793368830820171,0.17884469103763032,3.0,0.35768938207526063,0.17884469103763032,1.0,0.0,0.6418184258803525,0.3581815741196474,0.0,2.0,0.0,0.0,0.0,0.0,0.6418184258803525,0.16707682670365565,0.19110474741599176,3.0,0.3822094948319835,0.19110474741599176,1.0,0.0,0.6418184258803525,0.3581815741196474,0.0,2.0,0.0,0.0,0.0,0.0,0.6418184258803525,0.16707682670365565,0.19110474741599176,3.0,0.3822094948319835,0.19110474741599176,1.0,0.0,0.6418184258803525,0.3581815741196474,0.0,2.0,0.0,0.0,0.0,0.0,0.6418184258803525,0.16707682670365565,0.19110474741599176,3.0,0.3822094948319835,0.19110474741599176,1.0,0.0,0.005100899369099299,0.020403597476397195,0.008835016871576017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.3760794666428028,0.3822094948319835,0.010617520275490453,0.1880397333214014,0.19110474741599176,0.005308760137745227,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6418184258803525,0.3581815741196474
allen__H16.03.007.01.01.03.02_541540569.swc,20291,pyramidal,0.866651,14794,1999,3497,0,0,0.0,0.0,0.000323626,0.0,0.0,0.0,0.0,0.0,0.826457,0.287606,0.3,0.3,0.3,0.84621,0.987703,0.227441,0.227441,0.227441,0.227441,0.275837,0.800914,0.3,0.263553,0.953301,0.987703,0.050025,0.861963,0.3,0.176151,304,0.906042,0.3,0.649083,0.105263,0.134868,159.4,26.3648,152.04,41.629,45.2102,1037.64,1725.14,82.6,0.125951,14.4608,383.867,279.941,81.8915,9.55576,17.8936,343.828,470.629,0.6830458353868901,0.18546081813701332,0.1314933464760966,3.0,0.17387875800887137,0.040857565303105,0.0,0.0,0.6830458353868901,0.18546081813701332,0.1314933464760966,3.0,0.17387875800887137,0.040857565303105,0.0,0.0,0.7291276490882208,0.09852143913257762,0.1723509117792016,3.0,0.0,0.0,0.0,0.0,0.7291276490882208,0.09852143913257762,0.1723509117792016,3.0,0.0,0.0,0.0,0.0,0.7291276490882208,0.09852143913257762,0.1723509117792016,3.0,0.0,0.0,0.0,0.0,0.7291276490882208,0.09852143913257762,0.1723509117792016,3.0,0.0,0.0,0.0,0.0,0.7291276490882208,0.09852143913257762,0.1723509117792016,3.0,0.0,0.0,0.0,0.0,0.7291276490882208,0.09852143913257762,0.1723509117792016,3.0,0.0,0.0,0.0,0.0,0.04346968950221784,0.17387875800887137,0.07529171080708476,0.01021439132577625,0.040857565303105,0.01769184474463529,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.04346968950221784,0.17387875800887137,0.07529171080708476,0.01021439132577625,0.040857565303105,0.01769184474463529,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1723509117792016,0.7291276490882208,0.09852143913257762
allen__H16.06.004.01.04.03_508282493.swc,10880,pyramidal,0.878642,5630,2418,2831,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881578,0.249968,0.3,0.3,0.3,0.982145,0.987703,0.155882,0.155882,0.155882,0.155882,0.155882,0.796814,0.3,0.284547,0.983153,0.987703,0.00661704,0.96335,0.982145,0.0275521,163,0.930335,0.3,0.81352,0.0981595,0.0981595,152.6,58.9879,164.043,18.9966,33.1345,815.424,1029.82,144.707,9.54018,26.2618,378.177,245.101,146.533,39.8939,33.6271,262.877,533.771,0.5175108006250575,0.23724607041088336,0.2452431289640592,3.0,0.029965989521095665,0.014982994760547819,0.0,0.0,0.5175108006250575,0.23724607041088336,0.2452431289640592,3.0,0.029965989521095665,0.014982994760547819,0.0,0.0,0.5175108006250575,0.2222630756503355,0.260226123724607,3.0,0.0,0.0,0.0,0.0,0.5175108006250575,0.2222630756503355,0.260226123724607,3.0,0.0,0.0,0.0,0.0,0.5175108006250575,0.2222630756503355,0.260226123724607,3.0,0.0,0.0,0.0,0.0,0.5175108006250575,0.2222630756503355,0.260226123724607,3.0,0.0,0.0,0.0,0.0,0.5175108006250575,0.2222630756503355,0.260226123724607,3.0,0.0,0.0,0.0,0.0,0.5175108006250575,0.2222630756503355,0.260226123724607,3.0,0.0,0.0,0.0,0.0,0.007491497380273916,0.029965989521095665,0.012975654087403567,0.0037457486901369547,0.014982994760547819,0.006487827043701777,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.007491497380273916,0.029965989521095665,0.012975654087403567,0.0037457486901369547,0.014982994760547819,0.006487827043701777,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.260226123724607,0.5175108006250575,0.2222630756503355
allen__H16.06.008.01.25.03_527941296.swc,7342,pyramidal,0.975264,353,4160,2828,0,0,0.0,0.0,0.0313973,0.0,0.0,0.0,0.0,0.0,0.855197,0.252305,0.3,0.3,0.3,0.905145,0.982145,0.169028,0.169028,0.169028,0.169028,0.244211,0.918851,0.85735,0.0,0.822494,0.3,0.211779,0.895307,0.3,0.127298,125,0.935032,0.3,0.834935,0.032,0.064,173.6,86.6846,100.673,-14.8196,30.7529,107.773,134.172,146.062,-0.680986,32.5528,516.78,337.057,142.756,-7.24186,33.5474,261.104,743.575,0.05217272851110203,0.7029015120555783,0.2449257594333197,3.0,0.28061571992916495,0.14030785996458248,0.0,0.0,0.05217272851110203,0.7029015120555783,0.2449257594333197,3.0,0.28061571992916495,0.14030785996458248,0.0,0.0,0.0,0.6147663806020978,0.3852336193979022,2.0,0.0961721836262089,0.0,0.0,1.0,0.0,0.6147663806020978,0.3852336193979022,2.0,0.0961721836262089,0.0,0.0,1.0,0.0,0.6147663806020978,0.3852336193979022,2.0,0.0961721836262089,0.0,0.0,1.0,0.0,0.6147663806020978,0.3852336193979022,2.0,0.0961721836262089,0.0,0.0,1.0,0.0,0.6147663806020978,0.3852336193979022,2.0,0.0961721836262089,0.0,0.0,1.0,0.0,0.6147663806020978,0.3852336193979022,2.0,0.0961721836262089,0.0,0.0,1.0,0.1422830677019479,0.28061571992916495,0.07986639400109863,0.03507696499114562,0.14030785996458248,0.060755085539979,1.0,1.0,0.0,0.25,1.0,0.4330127018922193,2.25,3.0,0.4330127018922193,1.0,0.25,0.0,1.0,0.1422830677019479,0.28061571992916495,0.07986639400109863,0.03507696499114562,0.14030785996458248,0.060755085539979,1.0,1.0,0.0,0.25,1.0,0.4330127018922193,2.25,3.0,0.4330127018922193,1.0,0.25,0.0,1.0,1.0,0.3852336193979022,0.048086091813104484,0.5666802887889933
allen__H16.06.009.01.02.03.01_528636794.swc,7487,pyramidal,0.97775,1518,2712,3256,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.851667,0.266125,0.3,0.3,0.3,0.962569,0.982145,0.188594,0.188594,0.188594,0.188594,0.188594,0.869543,0.3,0.147563,0.889198,0.3,0.138643,0.812028,0.3,0.249386,103,0.940359,0.3,0.846711,0.0485437,0.0776699,183.0,45.0584,104.36,-9.66181,18.5154,396.565,309.913,135.0,22.5365,29.9527,504.94,640.161,146.303,21.6339,40.6043,712.712,991.161,0.21039273310179002,0.3258081752604862,0.46379909163772376,3.0,0.07293614747528726,0.028853860539674092,0.0,0.0,0.21039273310179002,0.3258081752604862,0.46379909163772376,3.0,0.07293614747528726,0.028853860539674092,0.0,0.0,0.0,0.3282126636387924,0.6717873363612076,2.0,0.47368421052631576,0.2368421052631579,0.0,1.0,0.0,0.3282126636387924,0.6717873363612076,2.0,0.47368421052631576,0.2368421052631579,0.0,1.0,0.0,0.3282126636387924,0.6717873363612076,2.0,0.47368421052631576,0.2368421052631579,0.0,1.0,0.0,0.3282126636387924,0.6717873363612076,2.0,0.47368421052631576,0.2368421052631579,0.0,1.0,0.0,0.12543414373497194,0.874565856265028,2.0,0.8792412503339567,0.43962062516697836,0.0,1.0,0.0,0.12543414373497194,0.874565856265028,2.0,0.8792412503339567,0.43962062516697836,0.0,1.0,0.47488645471546886,0.8792412503339567,0.2850744380913195,0.23553967405824205,0.43962062516697836,0.14523382248065164,1.0,1.0,0.0,0.25,1.0,0.4330127018922193,2.25,3.0,0.4330127018922193,1.0,0.25,0.0,1.0,0.47488645471546886,0.8792412503339567,0.2850744380913195,0.23553967405824205,0.43962062516697836,0.14523382248065164,1.0,1.0,0.0,0.25,1.0,0.4330127018922193,2.25,3.0,0.4330127018922193,1.0,0.25,0.0,1.0,1.0,0.43494523109804967,0.20277851990382045,0.3622762489981298
