arm,round,n_verdicts,precision,precision_sd,recall,recall_sd,ap,ap_sd
factory,0,0,0.3284,0.026,0.4842,0.0607,0.3611,0.005
feedback,0,0,0.3284,0.026,0.4842,0.0607,0.3611,0.005
feedback,1,150,0.3475,0.0231,0.5122,0.0582,0.3954,0.0515
feedback,2,300,0.3667,0.0338,0.5387,0.0464,0.4116,0.0542
feedback,3,450,0.381,0.0336,0.5604,0.0549,0.4432,0.0411
feedback,4,600,0.3834,0.0365,0.5631,0.0479,0.4547,0.0366
feedback,5,750,0.3977,0.0485,0.5821,0.0314,0.4578,0.0386
feedback,6,900,0.3932,0.0308,0.5804,0.0812,0.4583,0.0219
feedback,7,1050,0.3978,0.0293,0.5859,0.0625,0.4696,0.0293
feedback,8,1200,0.3907,0.0294,0.5751,0.0603,0.4718,0.0202
random,0,0,0.3284,0.026,0.4842,0.0607,0.3611,0.005
random,1,150,0.3427,0.0288,0.505,0.0607,0.352,0.0269
random,2,300,0.3452,0.022,0.5092,0.0638,0.3512,0.0332
random,3,450,0.3381,0.023,0.5013,0.0879,0.3693,0.0142
random,4,600,0.3451,0.0273,0.508,0.0526,0.376,0.0348
random,5,750,0.3499,0.0259,0.5156,0.0587,0.3956,0.029
random,6,900,0.3451,0.0291,0.5077,0.0504,0.3913,0.0296
random,7,1050,0.3524,0.0207,0.5198,0.0637,0.4088,0.0357
random,8,1200,0.3571,0.0447,0.5242,0.0565,0.424,0.0278
