experiment,feature_mode,subset,target,n_rows,n_bad,bad_rate,saved_bundle,target_recall,model_name,feature_set,val_precision,val_recall,score_threshold,test_precision,test_recall,test_n_rejected,test_tp,test_fp,test_fn,test_accuracy,test_kept_f1_p10,val_ap,test_ap
single_cell_f060,xmodel,all,cell_f060,2402,211,0.08784346378018318,,0.5,extra_trees,full,0.65625,0.5,0.5686050607513723,0.45098039215686275,0.5476190476190477,51,23,28,19,0.9022869022869023,0.9389300000000002,0.5377742480366017,0.48066076431235244
single_cell_f060,xmodel,all,cell_f060,2402,211,0.08784346378018318,,0.7,hgb,no_lab,0.5,0.7142857142857143,0.20833084536283422,0.43478260869565216,0.7142857142857143,69,30,39,12,0.893970893970894,0.97632,0.4649295580483818,0.515693805861401
single_cell_f060,xmodel,all,cell_f060,2402,211,0.08784346378018318,paper/models/flag_improvement_sweep_seed123_branch3/all_xmodel_cell_f060_r080.joblib,0.8,rf,no_lab,0.425,0.8095238095238095,0.305883801267457,0.4,0.8095238095238095,85,34,51,8,0.8773388773388774,0.9915,0.544480583912775,0.49967346466747414
single_cell_f060,xmodel,all,cell_f060,2402,211,0.08784346378018318,,0.9,gb,full,0.25165562913907286,0.9047619047619048,0.039548890190472724,0.23493975903614459,0.9285714285714286,166,39,127,3,0.7297297297297297,1.0,0.5040891007668186,0.544929110403761
single_cell_f060,xmodel,all,cell_f060,2402,211,0.08784346378018318,,0.95,hgb,no_lab,0.20725388601036268,0.9523809523809523,0.013654405312928882,0.20207253886010362,0.9285714285714286,193,39,154,3,0.6735966735966736,1.0,0.4649295580483818,0.515693805861401
single_failure_head_ranked_against_cell_f060,xmodel,all,axon_f050,2402,211,0.08784346378018318,,0.5,gb,full,0.28,0.5,0.056193210053693377,0.23255813953488372,0.47619047619047616,86,20,66,22,0.817047817047817,0.97776,0.2495111387806155,0.44249952959949657
single_failure_head_ranked_against_cell_f060,xmodel,all,axon_f050,2402,211,0.08784346378018318,,0.7,gb,no_lab,0.297029702970297,0.7142857142857143,0.03930971859020889,0.2018348623853211,0.5238095238095238,109,22,87,20,0.7775467775467776,0.9856900000000001,0.22081753772836774,0.3121555643556961
single_failure_head_ranked_against_cell_f060,xmodel,all,axon_f050,2402,211,0.08784346378018318,,0.8,gb,numeric_only,0.26153846153846155,0.8095238095238095,0.026924451342404093,0.16296296296296298,0.5238095238095238,135,22,113,20,0.7234927234927235,1.0,0.22005419778068147,0.3163706379783236
single_failure_head_ranked_against_cell_f060,xmodel,all,axon_f050,2402,211,0.08784346378018318,,0.9,hgb,no_lab,0.18269230769230768,0.9047619047619048,0.0015009410038889731,0.16355140186915887,0.8333333333333334,214,35,179,7,0.6133056133056133,1.0,0.3172602291000916,0.2881712535363785
single_failure_head_ranked_against_cell_f060,xmodel,all,axon_f050,2402,211,0.08784346378018318,,0.95,gb,full,0.13793103448275862,0.9523809523809523,0.006140464779986008,0.13513513513513514,0.9523809523809523,296,40,256,2,0.46361746361746364,1.0,0.2495111387806155,0.44249952959949657
single_failure_head_ranked_against_cell_f060,xmodel,all,basal_f060,2402,211,0.08784346378018318,,0.5,rf,numeric_only,0.44680851063829785,0.5,0.2476299364649708,0.4857142857142857,0.40476190476190477,35,17,18,25,0.9106029106029107,0.7596499999999999,0.49170678496861847,0.47876574965528335
single_failure_head_ranked_against_cell_f060,xmodel,all,basal_f060,2402,211,0.08784346378018318,,0.7,extra_trees,no_lab,0.36585365853658536,0.7142857142857143,0.2829064599424351,0.35294117647058826,0.7142857142857143,85,30,55,12,0.8607068607068608,0.9539500000000001,0.25453214723220957,0.40295146173256285
single_failure_head_ranked_against_cell_f060,xmodel,all,basal_f060,2402,211,0.08784346378018318,,0.8,extra_trees,numeric_only,0.3119266055045872,0.8095238095238095,0.23407487757880682,0.2892561983471074,0.8333333333333334,121,35,86,7,0.8066528066528067,0.99145,0.2312220063159053,0.3975410547593943
single_failure_head_ranked_against_cell_f060,xmodel,all,basal_f060,2402,211,0.08784346378018318,,0.9,rf,full,0.24516129032258063,0.9047619047619048,0.0710418988293731,0.21164021164021163,0.9523809523809523,189,40,149,2,0.6860706860706861,1.0,0.4928078730036242,0.47661080608691253
single_failure_head_ranked_against_cell_f060,xmodel,all,basal_f060,2402,211,0.08784346378018318,,0.95,hgb,numeric_only,0.13986013986013987,0.9523809523809523,0.0004714005443718583,0.1276595744680851,1.0,329,42,287,0,0.40332640332640335,1.0,0.4027955668599533,0.37583204135070497
