experiment,feature_mode,subset,target,n_rows,n_bad,bad_rate,saved_bundle,target_recall,model_name,feature_set,val_precision,val_recall,score_threshold,test_precision,test_recall,test_n_rejected,test_tp,test_fp,test_fn,test_accuracy,test_kept_f1_p10,val_ap,test_ap
single_cell_f060,xmodel,all,cell_f060,2402,211,0.08784346378018318,,0.5,hgb,full,0.875,0.5,0.9403802333965631,0.9411764705882353,0.38095238095238093,17,16,1,26,0.9438669438669439,0.72207,0.7770061265307308,0.7572572456865457
single_cell_f060,xmodel,all,cell_f060,2402,211,0.08784346378018318,,0.7,gb,full,0.7692307692307693,0.7142857142857143,0.39671858673851906,0.8181818181818182,0.6428571428571429,33,27,6,15,0.9563409563409564,0.9131400000000001,0.7421944972331576,0.7546715398211343
single_cell_f060,xmodel,all,cell_f060,2402,211,0.08784346378018318,paper/models/flag_improvement_sweep_seed123_branch3_v12ens/all_xmodel_cell_f060_r080.joblib,0.8,extra_trees,full,0.7083333333333334,0.8095238095238095,0.5080833959367589,0.5714285714285714,0.7619047619047619,56,32,24,10,0.9293139293139293,0.98848,0.7728850589363292,0.7044556842251265
single_cell_f060,xmodel,all,cell_f060,2402,211,0.08784346378018318,,0.9,hgb,no_lab,0.5507246376811594,0.9047619047619048,0.06704516289025811,0.5,0.8333333333333334,70,35,35,7,0.9126819126819127,0.9981,0.7579993522424109,0.7270942269110313
single_cell_f060,xmodel,all,cell_f060,2402,211,0.08784346378018318,,0.95,rf,numeric_only,0.40816326530612246,0.9523809523809523,0.14491692167247092,0.37623762376237624,0.9047619047619048,101,38,63,4,0.8607068607068608,1.0,0.7635321958492822,0.7146114422993287
single_failure_head_ranked_against_cell_f060,xmodel,all,axon_f050,2402,211,0.08784346378018318,,0.5,rf,no_lab,0.6363636363636364,0.5,0.3127796135063785,0.32432432432432434,0.2857142857142857,37,12,25,30,0.8856548856548857,0.76169,0.8748139331676443,0.8002271618638223
single_failure_head_ranked_against_cell_f060,xmodel,all,axon_f050,2402,211,0.08784346378018318,,0.7,rf,full,0.4225352112676056,0.7142857142857143,0.1250238288926902,0.3150684931506849,0.5476190476190477,73,23,50,19,0.8565488565488566,0.99943,0.850573674612153,0.7998487781051578
single_failure_head_ranked_against_cell_f060,xmodel,all,axon_f050,2402,211,0.08784346378018318,,0.8,rf,full,0.37362637362637363,0.8095238095238095,0.07764154191638595,0.31958762886597936,0.7380952380952381,97,31,66,11,0.83991683991684,1.0,0.850573674612153,0.7998487781051578
single_failure_head_ranked_against_cell_f060,xmodel,all,axon_f050,2402,211,0.08784346378018318,,0.9,gb,numeric_only,0.24516129032258063,0.9047619047619048,0.0014842442387851672,0.2222222222222222,0.8571428571428571,162,36,126,6,0.7255717255717256,1.0,0.8323410966140448,0.7451456304744307
single_failure_head_ranked_against_cell_f060,xmodel,all,axon_f050,2402,211,0.08784346378018318,,0.95,hgb,numeric_only,0.182648401826484,0.9523809523809523,0.0001837126466843638,0.17372881355932204,0.9761904761904762,236,41,195,1,0.5925155925155925,1.0,0.8194873030725514,0.7323167523525009
