family,scope,experiment,target,target_recall_setting,model,feature_set,precision,recall,flagged_total,actually_bad_flagged_tp,false_flags_fp,missed_bad_fn,bad_total_in_test,accuracy,kept_f1_p10,saved_bundle,source
1 confidence/geometry only,pyramidal,single_cell_f060,cell_f060,0.5,gb,no_lab,0.46875,0.42857142857142855,32,15,17,20,35,0.8939828080229226,0.6619400000000001,,paper/results/flag_high_recall_validation_selected_seed123_branch3_pyramidal.json
1 confidence/geometry only,pyramidal,single_cell_f060,cell_f060,0.7,rf,numeric_only,0.45454545454545453,0.7142857142857143,55,25,30,10,35,0.8853868194842407,0.88421,,paper/results/flag_high_recall_validation_selected_seed123_branch3_pyramidal.json
1 confidence/geometry only,pyramidal,single_cell_f060,cell_f060,0.8,rf,full,0.3880597014925373,0.7428571428571429,67,26,41,9,35,0.8567335243553008,0.95139,,paper/results/flag_high_recall_validation_selected_seed123_branch3_pyramidal.json
1 confidence/geometry only,pyramidal,single_cell_f060,cell_f060,0.9,hgb,no_lab,0.2564102564102564,0.8571428571428571,117,30,87,5,35,0.7363896848137536,0.9948100000000001,,paper/results/flag_high_recall_validation_selected_seed123_branch3_pyramidal.json
1 confidence/geometry only,pyramidal,single_cell_f060,cell_f060,0.95,rf,numeric_only,0.1349206349206349,0.9714285714285714,252,34,218,1,35,0.37249283667621774,1.0,,paper/results/flag_high_recall_validation_selected_seed123_branch3_pyramidal.json
1 confidence/geometry only,pyramidal,single_cell_f060,cell_f060,1.0,hgb,full,0.12544802867383512,1.0,279,35,244,0,35,0.3008595988538682,1.0,,paper/results/flag_high_recall_validation_selected_seed123_branch3_pyramidal.json
2 + morphology baselines disagreement,pyramidal,single_cell_f060,cell_f060,0.5,hgb,full,0.5,0.5142857143,36,18,18,17,35,0.899713467,0.7448,,paper/results/flag_xmodel_high_recall_selected_seed123_branch3_pyramidal.json
2 + morphology baselines disagreement,pyramidal,single_cell_f060,cell_f060,0.7,gb,full,0.4782608696,0.6285714286,46,22,24,13,35,0.893982808,0.83526,,paper/results/flag_xmodel_high_recall_selected_seed123_branch3_pyramidal.json
2 + morphology baselines disagreement,pyramidal,single_cell_f060,cell_f060,0.8,rf,full,0.5283018868,0.8,53,28,25,7,35,0.9083094556,0.9793,,paper/results/flag_xmodel_high_recall_selected_seed123_branch3_pyramidal.json
2 + morphology baselines disagreement,pyramidal,single_cell_f060,cell_f060,0.9,gb,full,0.3783783784,0.8,74,28,46,7,35,0.8481375358,0.9898,,paper/results/flag_xmodel_high_recall_selected_seed123_branch3_pyramidal.json
2 + morphology baselines disagreement,pyramidal,single_cell_f060,cell_f060,0.95,hgb,no_lab,0.237037037,0.9142857143,135,32,103,3,35,0.6962750716,1.0,,paper/results/flag_xmodel_high_recall_selected_seed123_branch3_pyramidal.json
2 + morphology baselines disagreement,pyramidal,single_cell_f060,cell_f060,1.0,hgb,no_lab,0.231884058,0.9142857143,138,32,106,3,35,0.6876790831,1.0,,paper/results/flag_xmodel_high_recall_selected_seed123_branch3_pyramidal.json
3 + sanity/failure-head sweep,all,single_cell_f060,cell_f060,0.5,extra_trees,full,0.4509803921568627,0.5476190476190477,51,23,28,19,42,0.9022869022869024,0.9389300000000002,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_cell_f060,cell_f060,0.5,extra_trees,no_lab,0.4716981132075472,0.5952380952380952,53,25,28,17,42,0.9064449064449064,0.95287,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.5,rf,no_lab,0.42,0.5,50,21,29,21,42,0.896049896049896,0.8994,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.5,hgb,no_lab,0.3582089552238806,0.5714285714285714,67,24,43,18,42,0.8731808731808732,0.92708,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.5,gb,full,0.2325581395348837,0.4761904761904761,86,20,66,22,42,0.817047817047817,0.97776,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.5,gb,no_lab,0.24,0.4285714285714285,75,18,57,24,42,0.8316008316008316,0.9243,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.5,rf,numeric_only,0.4857142857142857,0.4047619047619047,35,17,18,25,42,0.9106029106029108,0.7596499999999999,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.5,extra_trees,full,0.4583333333333333,0.5238095238095238,48,22,26,20,42,0.9043659043659044,0.90604,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.5,two_stage,max_validation_percentile,0.4545454545454545,0.4761904761904761,44,20,24,22,42,0.9043659043659044,0.91172,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.5,two_stage,max_validation_percentile,0.4423076923076923,0.5476190476190477,52,23,29,19,42,0.9002079002079002,0.92738,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_cell_f060,cell_f060,0.7,hgb,no_lab,0.4347826086956521,0.7142857142857143,69,30,39,12,42,0.893970893970894,0.97632,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_cell_f060,cell_f060,0.7,rf,numeric_only,0.4264705882352941,0.6904761904761905,68,29,39,13,42,0.8918918918918919,0.9867,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.7,gb,full,0.2478632478632478,0.6904761904761905,117,29,88,13,42,0.7900207900207901,0.97656,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.7,rf,numeric_only,0.2545454545454545,0.6666666666666666,110,28,82,14,42,0.8004158004158004,0.9583,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.7,gb,no_lab,0.2018348623853211,0.5238095238095238,109,22,87,20,42,0.7775467775467776,0.98569,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.7,gb,full,0.1949152542372881,0.5476190476190477,118,23,95,19,42,0.762993762993763,0.99832,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.7,extra_trees,no_lab,0.3529411764705882,0.7142857142857143,85,30,55,12,42,0.8607068607068608,0.95395,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.7,extra_trees,full,0.3563218390804598,0.7380952380952381,87,31,56,11,42,0.8607068607068608,0.97767,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.7,two_stage,max_validation_percentile,0.4307692307692308,0.6666666666666666,65,28,37,14,42,0.893970893970894,0.9768,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.7,two_stage,max_validation_percentile,0.4305555555555556,0.7380952380952381,72,31,41,11,42,0.8918918918918919,0.9879,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_cell_f060,cell_f060,0.8,rf,no_lab,0.4,0.8095238095238095,85,34,51,8,42,0.8773388773388774,0.9915,paper/models/flag_improvement_sweep_seed123_branch3/all_xmodel_cell_f060_r080.joblib,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_cell_f060,cell_f060,0.8,rf,numeric_only,0.3777777777777777,0.8095238095238095,90,34,56,8,42,0.8669438669438669,0.9915,paper/models/flag_improvement_sweep_seed123_branch3/all_xmodel_sanity_cell_f060_r080.joblib,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.8,rf,full,0.1942857142857142,0.8095238095238095,175,34,141,8,42,0.6902286902286903,0.9915,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.8,rf,no_lab,0.1885714285714285,0.7857142857142857,175,33,142,9,42,0.6860706860706861,0.9915,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.8,gb,numeric_only,0.1629629629629629,0.5238095238095238,135,22,113,20,42,0.7234927234927235,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.8,gb,no_lab,0.1751824817518248,0.5714285714285714,137,24,113,18,42,0.7276507276507277,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.8,extra_trees,numeric_only,0.2892561983471074,0.8333333333333334,121,35,86,7,42,0.8066528066528067,0.99145,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,basal_f060,0.8,rf,full,0.2982456140350877,0.8095238095238095,114,34,80,8,42,0.817047817047817,0.99662,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.8,two_stage,max_validation_percentile,0.3666666666666666,0.7857142857142857,90,33,57,9,42,0.8627858627858628,0.9915,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,two_stage_max_failure_heads,cell_f060+axon_f050+basal_f060+apical_f050,0.8,two_stage,max_validation_percentile,0.4342105263157895,0.7857142857142857,76,33,43,9,42,0.8918918918918919,0.9912,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_cell_f060,cell_f060,0.9,gb,full,0.2349397590361445,0.9285714285714286,166,39,127,3,42,0.7297297297297297,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_cell_f060,cell_f060,0.9,gb,numeric_only,0.2087912087912088,0.9047619047619048,182,38,144,4,42,0.6923076923076923,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.9,rf,no_lab,0.162037037037037,0.8333333333333334,216,35,181,7,42,0.6091476091476091,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,apical_f050,0.9,gb,full,0.1452282157676348,0.8333333333333334,241,35,206,7,42,0.5571725571725572,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
3 + sanity/failure-head sweep,all,single_failure_head_ranked_against_cell_f060,axon_f050,0.9,hgb,no_lab,0.1635514018691588,0.8333333333333334,214,35,179,7,42,0.6133056133056133,1.0,,paper/results/flag_improvement_sweep_seed123_branch3.csv
