file,xmodel_v12ens_seed42_axon_frac,xmodel_v12ens_seed42_basal_frac,xmodel_v12ens_seed42_apical_frac,xmodel_v12ens_seed42_class_count,xmodel_v12ens_seed42_v12_l1_frac_delta,xmodel_v12ens_seed42_v12_apical_frac_delta,xmodel_v12ens_seed42_v12_axon_frac_delta,xmodel_v12ens_seed42_v12_apical_zero_mismatch,xmodel_v12ens_seed42_v12_axon_zero_mismatch,xmodel_v12ens_seed42_stage1_is_pyramidal,xmodel_v12ens_seed42_stage1_disagree,xmodel_v12ens_seed42_stage1_conf,xmodel_v12ens_seed789_axon_frac,xmodel_v12ens_seed789_basal_frac,xmodel_v12ens_seed789_apical_frac,xmodel_v12ens_seed789_class_count,xmodel_v12ens_seed789_v12_l1_frac_delta,xmodel_v12ens_seed789_v12_apical_frac_delta,xmodel_v12ens_seed789_v12_axon_frac_delta,xmodel_v12ens_seed789_v12_apical_zero_mismatch,xmodel_v12ens_seed789_v12_axon_zero_mismatch,xmodel_v12ens_seed789_stage1_is_pyramidal,xmodel_v12ens_seed789_stage1_disagree,xmodel_v12ens_seed789_stage1_conf,xmodel_v12ens_l1_mean,xmodel_v12ens_l1_max,xmodel_v12ens_l1_std,xmodel_v12ens_apical_delta_mean,xmodel_v12ens_apical_delta_max,xmodel_v12ens_axon_delta_mean,xmodel_v12ens_axon_delta_max,xmodel_v12ens_apical_present_vote_frac,xmodel_v12ens_axon_present_vote_frac,xmodel_v12ens_apical_presence_disagreement,xmodel_v12ens_axon_presence_disagreement,xmodel_v12ens_class_count_mean,xmodel_v12ens_class_count_std,xmodel_v12ens_stage1_pyramidal_vote_frac,xmodel_v12ens_stage1_disagree_mean,xmodel_v12ens_stage1_conf_mean,xmodel_v12ens_stage1_conf_min,xmodel_v12ens_interseed_l1,xmodel_v12ens_interseed_apical_delta,xmodel_v12ens_interseed_axon_delta
allen__Chat-IRES-Cre-neo_Ai14-307622.05.02.01_575774870.swc,0.6306044174051052,0.36939558259489486,0.0,2.0,0.00026451527575710454,0.0,0.00013225763787849676,0.0,0.0,0.0,0.0,0.9919017553329468,0.6306044174051052,0.36939558259489486,0.0,2.0,0.00026451527575710454,0.0,0.00013225763787849676,0.0,0.0,0.0,0.0,0.9787347316741943,0.00026451527575710454,0.00026451527575710454,0.0,0.0,0.0,0.00013225763787849676,0.00013225763787849676,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9853182435035706,0.9787347316741943,0.0,0.0,0.0
allen__Chat-IRES-Cre-neo_Ai14-313182.05.02.01_583146274.swc,0.4140534262485482,0.5859465737514518,0.0,2.0,0.8281068524970965,0.0,0.4140534262485482,0.0,1.0,0.0,0.0,0.9569942951202393,0.4140534262485482,0.5859465737514518,0.0,2.0,0.8281068524970965,0.0,0.4140534262485482,0.0,1.0,0.0,0.0,0.9003971219062805,0.8281068524970965,0.8281068524970965,0.0,0.0,0.0,0.4140534262485482,0.4140534262485482,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9286957085132599,0.9003971219062805,0.0,0.0,0.0
allen__Chat-IRES-Cre-neo_Ai14-316042.05.01.01_586072188.swc,0.602091020910209,0.3979089790897909,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957705140113831,0.6886018860188602,0.3113981139811398,0.0,2.0,0.17302173021730222,0.0,0.08651086510865114,0.0,0.0,0.0,0.0,0.9865531921386719,0.08651086510865111,0.17302173021730222,0.08651086510865111,0.0,0.0,0.04325543255432557,0.08651086510865114,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9911618530750275,0.9865531921386719,0.17302173021730222,0.0,0.08651086510865114
allen__Gad2-IRES-Cre_Ai14-324791.03.02.02_593321019.swc,0.9005542875774373,0.09944571242256277,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984139800071716,0.9005542875774373,0.09944571242256277,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916965365409851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.9950552582740784,0.9916965365409851,0.0,0.0,0.0
allen__H16.03.002.01.06.01_520454345.swc,0.21292529585798817,0.3813794378698225,0.4056952662721893,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9860190153121948,0.21292529585798817,0.3813794378698225,0.4056952662721893,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9536935091018677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.9698562622070312,0.9536935091018677,0.0,0.0,0.0
allen__H16.03.006.01.09.02_537266147.swc,0.6418184258803525,0.16707682670365565,0.19110474741599176,3.0,0.3822094948319835,0.19110474741599176,0.0,1.0,0.0,1.0,1.0,0.7306577563285828,0.6418184258803525,0.3581815741196474,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7798058986663818,0.19110474741599176,0.3822094948319835,0.19110474741599176,0.09555237370799588,0.19110474741599176,0.0,0.0,0.5,1.0,1.0,0.0,2.5,0.5,0.5,0.5,0.7552318274974823,0.7306577563285828,0.3822094948319835,0.19110474741599176,0.0
allen__H16.03.007.01.01.03.02_541540569.swc,0.7291276490882208,0.09852143913257762,0.1723509117792016,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9474652409553528,0.7291276490882208,0.09852143913257762,0.1723509117792016,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8604291081428528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.9039471745491028,0.8604291081428528,0.0,0.0,0.0
allen__H16.06.004.01.04.03_508282493.swc,0.5175108006250575,0.2222630756503355,0.260226123724607,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9195728302001953,0.5175108006250575,0.2222630756503355,0.260226123724607,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8052718043327332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.8624223172664642,0.8052718043327332,0.0,0.0,0.0
allen__H16.06.008.01.25.03_527941296.swc,0.048086091813104484,0.5666802887889933,0.3852336193979022,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9777206778526306,0.048086091813104484,0.5666802887889933,0.3852336193979022,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9548817873001099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.9663012325763702,0.9548817873001099,0.0,0.0,0.0
allen__H16.06.009.01.02.03.01_528636794.swc,0.20277851990382045,0.3622762489981298,0.43494523109804967,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9926550388336182,0.20277851990382045,0.3622762489981298,0.43494523109804967,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9789343476295471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.9857946932315826,0.9789343476295471,0.0,0.0,0.0
