file,cell_type_gt,held_out_F1,in_bottom,n_categories,categories
neuromorpho__GGN_20170309_sc.swc,interneuron,0.0,yes,1,BASAL_LOST
neuromorpho__170321_1.swc,interneuron,0.0,yes,1,BASAL_LOST
neuromorpho__n423.swc,pyramidal,0.0,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|BASAL_LOST
neuromorpho__3PO3_5.swc,pyramidal,0.0,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__110E_1_L_Ngr2KO_1.swc,pyramidal,0.0,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|STAGE1_PROPAGATION
neuromorpho__10month-Arctic-C5aR1-KO-52280-LR_4.swc,pyramidal,0.0,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__cIN-1360-nrn-ns-111206-transl-invX-scaled-straightened.swc,interneuron,0.0,yes,2,AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__C912-WT-basal-2.swc,pyramidal,0.0,yes,1,BASAL_LOST
neuromorpho__C1042-whole-2.swc,pyramidal,0.0,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|BASAL_LOST
neuromorpho__hippo-104-6.swc,pyramidal,0.0,yes,1,BASAL_LOST
neuromorpho__WT2-Neuron-3.swc,pyramidal,0.0,yes,2,AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__SW150113-01RabiesPHALPFC_x772_y876_z296_14.swc,pyramidal,0.0255,yes,1,BASAL_LOST
neuromorpho__interneuronEX.swc,interneuron,0.0561,yes,2,AXON_DENDRITE_CONFUSION|BASAL_LOST
neuromorpho__242-2-24VN.swc,pyramidal,0.0606,yes,1,BASAL_LOST
neuromorpho__PDE1c_vGluT2-ctrl_IN08.swc,interneuron,0.0674,yes,2,BASAL_LOST|STAGE1_PROPAGATION
neuromorpho__WT_1_3.swc,pyramidal,0.07,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION|BASAL_LOST
neuromorpho__170313_2.swc,interneuron,0.0794,yes,1,BASAL_LOST
neuromorpho__11220c3.swc,pyramidal,0.0911,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|BASAL_LOST|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__p120107-07-AAC.swc,interneuron,0.096,yes,2,BASAL_LOST|STAGE1_PROPAGATION
neuromorpho__Nov-9-IR-1-4d-40x-low-res.swc,pyramidal,0.1026,yes,6,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|BASAL_LOST|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__AINL.swc,interneuron,0.1111,yes,2,AXON_DENDRITE_CONFUSION|BASAL_LOST
neuromorpho__242-1-13VN.swc,pyramidal,0.1164,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION|BASAL_LOST
neuromorpho__241-2-15VN.swc,pyramidal,0.1234,yes,1,BASAL_LOST
neuromorpho__Jul26-IR2-2H.swc,pyramidal,0.1239,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|BASAL_LOST|STAGE1_PROPAGATION
neuromorpho__A627_NeuronA_40x_Tile_Trace_RK.swc,pyramidal,0.1273,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|BASAL_LOST
neuromorpho__241-1-22-AW.swc,pyramidal,0.1354,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION|BASAL_LOST
neuromorpho__m3s4s4b-med-deep.swc,pyramidal,0.1434,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|BASAL_LOST|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__060a000002.swc,interneuron,0.1444,yes,1,BASAL_LOST
neuromorpho__Green_4weeks_Neuron11.swc,pyramidal,0.1481,yes,1,BASAL_LOST
neuromorpho__WT3-neuron8.swc,pyramidal,0.151,yes,3,AXON_DENDRITE_CONFUSION|BASAL_LOST|STAGE1_PROPAGATION
neuromorpho__B913_NeuronC_40x_Tile_Trace_MK.swc,pyramidal,0.1564,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|BASAL_LOST
neuromorpho__389-01-01.swc,pyramidal,0.1652,yes,3,AXON_DENDRITE_CONFUSION|BASAL_LOST|STAGE1_PROPAGATION
neuromorpho__10331c1.swc,pyramidal,0.1752,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__236-1-12LS.swc,pyramidal,0.1867,yes,2,AXON_DENDRITE_CONFUSION|BASAL_LOST
neuromorpho__3PO1_1.swc,pyramidal,0.1882,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__20171012A01.swc,pyramidal,0.1935,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__10n12c1.swc,pyramidal,0.1962,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__AAS3.swc,interneuron,0.1978,yes,1,BASAL_LOST
neuromorpho__236-3-64LS.swc,pyramidal,0.2028,yes,1,BASAL_LOST
neuromorpho__SstCre_cell7.swc,pyramidal,0.2046,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__KO1-4-3-9.swc,pyramidal,0.2047,yes,6,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__X046_S1_Z2_C05.swc,pyramidal,0.2052,yes,4,APICAL_OVERPREDICTED|APICAL_INVERTED|BASAL_LOST|TRUNCATED_APICAL
neuromorpho__1071-1-Sec5-LTL1.swc,pyramidal,0.2063,yes,1,BASAL_LOST
neuromorpho__236-2-36LS.swc,pyramidal,0.2077,yes,1,BASAL_LOST
neuromorpho__10o27c3.swc,pyramidal,0.2114,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__389-02-02A.swc,pyramidal,0.2123,yes,6,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__C4_3.swc,pyramidal,0.2126,yes,2,APICAL_OVERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__KOA-2-13-7.swc,pyramidal,0.2136,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__Delayed3_4197_neurobiotin_TH.swc,interneuron,0.2149,yes,2,AXON_DENDRITE_CONFUSION|BASAL_LOST
neuromorpho__B110430PYR.swc,pyramidal,0.2174,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__242-2-34LU.swc,pyramidal,0.2192,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|BASAL_LOST
neuromorpho__Green_2weeks_Neuron10add'l.swc,pyramidal,0.2222,yes,1,BASAL_LOST
neuromorpho__241-3-43LU.swc,pyramidal,0.2317,yes,3,APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION
neuromorpho__243-3-42VN.swc,pyramidal,0.2317,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__241-2-88LU.swc,pyramidal,0.2347,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__236-3-32LS.swc,pyramidal,0.2356,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION
hpf_ca1__202224_002_edited.swc,pyramidal,0.2363,yes,2,AXON_DENDRITE_CONFUSION|BASAL_LOST
neuromorpho__3PO2_2.swc,pyramidal,0.2369,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__C3_3.swc,pyramidal,0.2411,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__WT3-neuron3.swc,pyramidal,0.244,yes,6,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__559-1-R1.swc,pyramidal,0.2468,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__11_06_13_-2_Cell_-4.swc,pyramidal,0.2484,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION
neuromorpho__243-3-19VN.swc,pyramidal,0.2504,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__05a_pyramidal10aACC.swc,pyramidal,0.2505,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__retina6_petal1_n1.swc,interneuron,0.252,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__20180207A01.swc,pyramidal,0.2533,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__iPRCp_05.swc,pyramidal,0.2562,yes,0,
neuromorpho__mPFC_w1_L3_01.swc,pyramidal,0.257,yes,2,APICAL_OVERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__11713c2.swc,pyramidal,0.2608,yes,2,AXON_DENDRITE_CONFUSION|STAGE1_PROPAGATION
neuromorpho__KO1-4-1-3.swc,pyramidal,0.2655,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL
neuromorpho__X043_S4_Z5_C02.swc,pyramidal,0.2659,yes,2,APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__171108-5.swc,interneuron,0.266,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__822.swc,interneuron,0.2674,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__C2_5.swc,pyramidal,0.2688,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__X043_S5_Z2_C05_20x.swc,pyramidal,0.2688,yes,3,APICAL_OVERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL
neuromorpho__Cell42.swc,interneuron,0.2727,yes,2,AXON_DENDRITE_CONFUSION|BASAL_LOST
neuromorpho__241-2-2VN.swc,pyramidal,0.2735,yes,3,APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION
neuromorpho__Anstoetz_Toolbox-IN15.swc,interneuron,0.2782,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__802s1c1.swc,pyramidal,0.2795,yes,6,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__AAS15.swc,interneuron,0.2809,yes,2,BASAL_LOST|STAGE1_PROPAGATION
neuromorpho__241-3-33LU.swc,pyramidal,0.2834,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION
neuromorpho__2-ENU2-veichle-neuron1_2.swc,pyramidal,0.2836,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__I5-19.swc,pyramidal,0.2848,yes,6,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__241-3-42LU.swc,pyramidal,0.2857,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__242-1-16VN.swc,pyramidal,0.2862,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION
neuromorpho__560-3-R1.swc,pyramidal,0.2865,yes,2,APICAL_MISSED|APICAL_UNDERPREDICTED
neuromorpho__236-2a-16-AW.swc,pyramidal,0.2898,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__Cell22.swc,interneuron,0.2932,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__A627_NeuronB_40x_Tile_Trace_MK.swc,pyramidal,0.2933,yes,2,APICAL_MISSED|APICAL_UNDERPREDICTED
neuromorpho__Anstoetz_O-LM_IN1.swc,interneuron,0.2937,yes,2,BASAL_LOST|STAGE1_PROPAGATION
neuromorpho__B2_slide3_neuron3.swc,pyramidal,0.3,yes,2,APICAL_UNDERPREDICTED|APICAL_INVERTED
neuromorpho__A1_slide3_5.swc,pyramidal,0.3016,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL
neuromorpho__dIN-1354-nrn-ns-100902-transl-invX-scaled-straightened.swc,interneuron,0.302,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION|BASAL_LOST|TRUNCATED_APICAL
neuromorpho__241-2-93LU.swc,pyramidal,0.3088,yes,1,APICAL_OVERPREDICTED
neuromorpho__m3s4s4t-vp-mid.swc,pyramidal,0.3089,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL|STAGE1_PROPAGATION
neuromorpho__207B-2-R2.swc,pyramidal,0.3093,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
neuromorpho__236-1-10LS.swc,pyramidal,0.3099,yes,2,APICAL_MISSED|APICAL_UNDERPREDICTED
neuromorpho__Fig5a_8cell.swc,pyramidal,0.3108,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|STAGE1_PROPAGATION
neuromorpho__retina1_petal1_n2.swc,interneuron,0.3165,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__B2_slide3_14.swc,pyramidal,0.3201,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION
neuromorpho__B2_slide3_8.swc,pyramidal,0.3223,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL
neuromorpho__1128-2-Sec1-BSL2.swc,pyramidal,0.3229,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED
neuromorpho__KO5-Neuron6.swc,pyramidal,0.3231,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__236-3-47LS.swc,pyramidal,0.3263,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__72715-V1-5Slice4Cell1.swc,pyramidal,0.3269,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
neuromorpho__236-3-51LS.swc,pyramidal,0.3282,yes,4,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION
neuromorpho__B1_slide1_6.swc,pyramidal,0.3289,yes,5,APICAL_MISSED|APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION|TRUNCATED_APICAL
hpf_ca1__210107_029_edited.swc,pyramidal,0.3333,yes,3,APICAL_UNDERPREDICTED|APICAL_INVERTED|AXON_DENDRITE_CONFUSION
neuromorpho__A586_NeuronC_40x_Tile_Trace_MK.swc,pyramidal,0.3339,yes,2,APICAL_MISSED|APICAL_UNDERPREDICTED
neuromorpho__A4_slide3_19.swc,pyramidal,0.3417,yes,2,AXON_DENDRITE_CONFUSION|BASAL_LOST
neuromorpho__2017-24-02-slice-3-cell-2-rotated.swc,interneuron,0.343,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__Layer-2-3-Ethanol-8.swc,pyramidal,0.3455,yes,2,APICAL_UNDERPREDICTED|APICAL_INVERTED
neuromorpho__T84_NeuronC_Tile_Trace_MB.swc,pyramidal,0.3456,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|TRUNCATED_APICAL
hpf_ca1__210013_013_edited.swc,pyramidal,0.3498,yes,2,APICAL_MISSED|APICAL_UNDERPREDICTED
neuromorpho__2016-30-09-slice-4-cell-8-rotated.swc,interneuron,0.3517,yes,1,AXON_DENDRITE_CONFUSION
neuromorpho__Mouse-CA2-Ma-Pyramidal-Cell.swc,pyramidal,0.3536,yes,3,APICAL_MISSED|APICAL_UNDERPREDICTED|STAGE1_PROPAGATION
