file,cell_type_gt,n_nodes,seed_used,held_out_F1,acc,axon_F1,basal_F1,apical_F1,stage1_pred,stage1_conf,stage1_correct,n_components,soma_z,apical_mean_z,apical_above_soma,apical_z_extent,axon_frac,apical_frac,basal_frac,pred_axon,pred_basal,pred_apical,elapsed_s,source
neuromorpho__GGN_20170309_sc.swc,interneuron,36156,789,0.0,0.0,,0.0,,interneuron,0.566,True,1,0.0,,,0.0,0.0,0.0,1.0,36155,0,0,1.49,neuromorpho
neuromorpho__170321_1.swc,interneuron,4529,42,0.0,0.0002,,0.0,0.0,interneuron,0.9947,True,1,0.0,0.0,0.0,0.0,0.0,0.005,0.994,4504,24,0,0.79,neuromorpho
neuromorpho__n423.swc,pyramidal,2143,42,0.0,0.0005,,0.0,0.0,pyramidal,0.7597,True,1,0.34,-30.13,-30.47,265.19,0.0,0.566,0.434,929,1213,0,0.38,neuromorpho
neuromorpho__3PO3_5.swc,pyramidal,790,789,0.0,0.0013,0.0,,0.0,pyramidal,0.9751,True,1,0.0,0.0,0.0,0.0,0.391,0.608,0.0,480,309,0,0.3,neuromorpho
neuromorpho__110E_1_L_Ngr2KO_1.swc,pyramidal,182,42,0.0,0.0055,,,0.0,interneuron,0.475,False,1,0.0,34.62,34.62,72.3,0.0,0.995,0.0,0,181,0,0.27,neuromorpho
neuromorpho__10month-Arctic-C5aR1-KO-52280-LR_4.swc,pyramidal,173,789,0.0,0.0058,,,0.0,pyramidal,0.72,True,1,0.0,-9.58,-9.58,32.48,0.0,0.994,0.0,172,0,0,0.24,neuromorpho
neuromorpho__cIN-1360-nrn-ns-111206-transl-invX-scaled-straightened.swc,interneuron,78,789,0.0,0.0128,0.0,,,pyramidal,0.3821,False,1,0.0,,,0.0,0.987,0.0,0.0,0,0,77,0.25,neuromorpho
neuromorpho__C912-WT-basal-2.swc,pyramidal,72,42,0.0,0.0139,,0.0,,pyramidal,0.9773,True,1,0.0,,,0.0,0.0,0.0,0.986,71,0,0,0.29,neuromorpho
neuromorpho__C1042-whole-2.swc,pyramidal,61,42,0.0,0.0164,,0.0,0.0,pyramidal,0.9923,True,1,0.0,9.0,9.0,90.0,0.0,0.459,0.525,32,28,0,0.32,neuromorpho
neuromorpho__hippo-104-6.swc,pyramidal,70,both,0.0,0.0143,,0.0,,pyramidal,0.9839,True,1,0.0,,,0.0,0.0,0.0,0.986,0,0,69,0.54,neuromorpho
neuromorpho__WT2-Neuron-3.swc,pyramidal,14,42,0.0,0.0714,0.0,,,interneuron,0.4279,False,1,0.0,,,0.0,0.929,0.0,0.0,0,13,0,0.21,neuromorpho
neuromorpho__SW150113-01RabiesPHALPFC_x772_y876_z296_14.swc,pyramidal,311,42,0.0255,0.0161,,0.0255,,pyramidal,0.8809,True,1,0.0,,,0.0,0.0,0.0,0.997,98,4,208,0.37,neuromorpho
