file,cell_type_gt,n_nodes,seed_used,held_out_F1,acc,axon_F1,basal_F1,apical_F1,stage1_pred,stage1_conf,stage1_correct,n_components,soma_z,apical_mean_z,apical_above_soma,apical_z_extent,axon_frac,apical_frac,basal_frac,pred_axon,pred_basal,pred_apical,elapsed_s,source
neuromorpho__GGN_20170309_sc.swc,interneuron,36156,branch3,1.0000,1.0000,,1.0000,,interneuron,0.9886,True,1,0.00,,,0.00,0.000,0.000,1.000,0,36155,0,1.07,neuromorpho
neuromorpho__170321_1.swc,interneuron,4529,branch3,0.0000,0.0002,,0.0000,0.0000,interneuron,0.9947,True,1,0.00,0.00,0.00,0.00,0.000,0.005,0.994,4504,24,0,0.53,neuromorpho
neuromorpho__n423.swc,pyramidal,2143,branch3,0.5000,0.4340,,1.0000,0.0000,pyramidal,0.7597,True,1,0.34,-30.13,-30.47,265.19,0.000,0.566,0.434,1213,929,0,0.63,neuromorpho
neuromorpho__3PO3_5.swc,pyramidal,790,branch3,0.5000,0.6089,0.0000,,1.0000,pyramidal,0.9904,True,1,0.00,0.00,0.00,0.00,0.391,0.608,0.000,0,309,480,0.39,neuromorpho
neuromorpho__110E_1_L_Ngr2KO_1.swc,pyramidal,182,branch3,1.0000,1.0000,,,1.0000,pyramidal,0.5250,True,1,0.00,34.62,34.62,72.30,0.000,0.995,0.000,0,0,181,0.32,neuromorpho
neuromorpho__10month-Arctic-C5aR1-KO-52280-LR_4.swc,pyramidal,173,branch3,0.0000,0.0058,,,0.0000,pyramidal,0.8879,True,1,0.00,-9.58,-9.58,32.48,0.000,0.994,0.000,172,0,0,0.29,neuromorpho
neuromorpho__cIN-1360-nrn-ns-111206-transl-invX-scaled-straightened.swc,interneuron,78,branch3,1.0000,1.0000,1.0000,,,interneuron,0.9355,True,1,0.00,,,0.00,0.987,0.000,0.000,77,0,0,0.15,neuromorpho
neuromorpho__C912-WT-basal-2.swc,pyramidal,72,branch3,1.0000,1.0000,,1.0000,,pyramidal,0.9773,True,1,0.00,,,0.00,0.000,0.000,0.986,0,71,0,0.31,neuromorpho
neuromorpho__C1042-whole-2.swc,pyramidal,61,branch3,0.0000,0.0164,,0.0000,0.0000,pyramidal,0.9923,True,1,0.00,9.00,9.00,90.00,0.000,0.459,0.525,32,28,0,0.32,neuromorpho
neuromorpho__hippo-104-6.swc,pyramidal,70,branch3,1.0000,1.0000,,1.0000,,pyramidal,0.9901,True,1,0.00,,,0.00,0.000,0.000,0.986,0,69,0,0.32,neuromorpho
neuromorpho__WT2-Neuron-3.swc,pyramidal,14,branch3,0.0000,0.0714,0.0000,,,interneuron,0.4279,False,1,0.00,,,0.00,0.929,0.000,0.000,0,13,0,0.13,neuromorpho
neuromorpho__SW150113-01RabiesPHALPFC_x772_y876_z296_14.swc,pyramidal,311,branch3,0.4804,0.3183,,0.4804,,pyramidal,0.8809,True,1,0.00,,,0.00,0.000,0.000,0.997,4,98,208,0.44,neuromorpho
neuromorpho__interneuronEX.swc,interneuron,7317,branch3,0.0561,0.0596,0.0000,0.1122,,interneuron,0.9151,True,1,-10.10,,,0.00,0.940,0.000,0.059,0,7316,0,0.56,neuromorpho
neuromorpho__242-2-24VN.swc,pyramidal,63,branch3,1.0000,1.0000,,1.0000,1.0000,pyramidal,0.9713,True,1,0.00,11.77,11.77,61.17,0.000,0.397,0.587,0,37,25,0.36,neuromorpho
neuromorpho__PDE1c_vGluT2-ctrl_IN08.swc,interneuron,259,branch3,0.0674,0.0386,,0.0674,,pyramidal,0.6873,False,1,0.00,,,0.00,0.000,0.000,0.996,78,9,171,0.36,neuromorpho
neuromorpho__WT_1_3.swc,pyramidal,2940,branch3,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9841,True,1,0.00,0.00,0.00,0.00,0.455,0.427,0.117,1338,345,1256,0.52,neuromorpho
neuromorpho__170313_2.swc,interneuron,29884,branch3,0.0794,0.0414,,0.0794,,interneuron,0.9956,True,1,0.00,,,0.00,0.000,0.000,1.000,28647,1236,0,1.12,neuromorpho
neuromorpho__11220c3.swc,pyramidal,879,branch3,0.0911,0.1013,,0.1822,0.0000,interneuron,0.4109,False,1,0.00,23.02,23.02,49.49,0.000,0.899,0.100,0,878,0,0.22,neuromorpho
neuromorpho__p120107-07-AAC.swc,interneuron,596,branch3,1.0000,1.0000,,1.0000,,interneuron,0.8947,True,1,12.00,,,0.00,0.000,0.000,0.998,0,595,0,0.21,neuromorpho
neuromorpho__Nov-9-IR-1-4d-40x-low-res.swc,pyramidal,1881,branch3,1.0000,1.0000,,1.0000,1.0000,pyramidal,0.4590,True,1,0.00,-13.55,-13.55,44.69,0.000,0.885,0.114,0,215,1665,0.50,neuromorpho
neuromorpho__AINL.swc,interneuron,17,branch3,0.3600,0.5882,0.0000,0.7200,,interneuron,0.9187,True,1,0.00,,,0.00,0.412,0.000,0.529,0,16,0,0.15,neuromorpho
neuromorpho__242-1-13VN.swc,pyramidal,261,branch3,0.4922,0.6475,0.0000,0.9051,0.5714,pyramidal,0.9889,True,1,0.00,6.35,6.35,106.44,0.100,0.421,0.475,66,150,44,0.53,neuromorpho
neuromorpho__241-2-15VN.swc,pyramidal,342,branch3,0.5000,0.6404,,1.0000,0.0000,pyramidal,0.9976,True,1,0.00,16.52,16.52,109.87,0.000,0.360,0.637,123,218,0,0.52,neuromorpho
neuromorpho__Jul26-IR2-2H.swc,pyramidal,1889,branch3,0.1239,0.1419,,0.2478,0.0000,interneuron,0.7354,False,1,0.00,4.48,4.48,78.03,0.000,0.858,0.141,0,1888,0,0.27,neuromorpho
neuromorpho__A627_NeuronA_40x_Tile_Trace_RK.swc,pyramidal,728,branch3,1.0000,1.0000,,1.0000,1.0000,pyramidal,0.9970,True,1,0.00,0.00,0.00,0.00,0.000,0.853,0.146,0,106,621,0.45,neuromorpho
neuromorpho__241-1-22-AW.swc,pyramidal,464,branch3,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9970,True,1,0.00,-11.12,-11.12,78.38,0.009,0.123,0.866,4,402,57,0.61,neuromorpho
