file,cell_type_gt,n_nodes,seed_used,held_out_F1,acc,axon_F1,basal_F1,apical_F1,stage1_pred,stage1_conf,stage1_correct,n_components,soma_z,apical_mean_z,apical_above_soma,apical_z_extent,axon_frac,apical_frac,basal_frac,pred_axon,pred_basal,pred_apical,elapsed_s,source
allen__Chat-IRES-Cre-neo_Ai14-307622.05.02.01_575774870.swc,interneuron,7562,v12_gentle_seed123,0.9999,0.9999,0.9999,0.9998,,interneuron,0.9923,True,1,40.32,,,0.00,0.631,0.000,0.369,4769,2792,0,0.71,allen
allen__Chat-IRES-Cre-neo_Ai14-313182.05.02.01_583146274.swc,interneuron,3445,v12_gentle_seed123,0.3771,0.6055,0.0000,0.7542,,interneuron,0.8629,True,1,10.08,,,0.00,0.394,0.000,0.605,0,3444,0,0.42,allen
allen__Chat-IRES-Cre-neo_Ai14-316042.05.01.01_586072188.swc,interneuron,4879,v12_gentle_seed123,0.8859,0.8869,0.8963,0.8755,,interneuron,0.9955,True,1,17.08,,,0.00,0.489,0.000,0.511,2937,1941,0,0.61,allen
allen__Gad2-IRES-Cre_Ai14-324791.03.02.02_593321019.swc,interneuron,9202,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,,interneuron,0.9968,True,1,18.55,,,0.00,0.900,0.000,0.099,8286,915,0,0.83,allen
allen__H16.03.002.01.06.01_520454345.swc,pyramidal,10817,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9808,True,1,27.60,39.00,11.39,81.76,0.213,0.406,0.381,2303,4125,4388,1.70,allen
allen__H16.03.006.01.09.02_537266147.swc,pyramidal,22350,v12_gentle_seed123,0.5454,0.8089,1.0000,0.6362,0.0000,interneuron,0.9034,False,1,36.40,40.59,4.19,102.95,0.642,0.191,0.167,14344,8005,0,0.78,allen
allen__H16.03.007.01.01.03.02_541540569.swc,pyramidal,20291,v12_gentle_seed123,0.9174,0.9475,0.9627,0.7897,1.0000,pyramidal,0.8667,True,1,26.36,35.92,9.56,81.89,0.677,0.172,0.151,14794,1999,3497,2.23,allen
allen__H16.06.004.01.04.03_508282493.swc,pyramidal,10880,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.8786,True,1,58.99,98.88,39.89,146.53,0.517,0.260,0.222,5630,2418,2831,1.39,allen
allen__H16.06.008.01.25.03_527941296.swc,pyramidal,7342,v12_gentle_seed123,1.0000,1.0000,1.0000,1.0000,1.0000,pyramidal,0.9753,True,1,86.68,79.44,-7.24,142.76,0.048,0.385,0.567,353,4160,2828,1.04,allen
allen__H16.06.009.01.02.03.01_528636794.swc,pyramidal,7487,v12_gentle_seed123,0.7668,0.7632,1.0000,0.5144,0.7860,pyramidal,0.9778,True,1,45.06,67.70,22.64,146.30,0.203,0.672,0.125,1518,2712,3256,1.06,allen
