file,n_nodes,predicted_apical,predicted_types,error
lab__202251_031_edited.swc,14983,False,"1,2,3",
lab__202252_015_edited.swc,16734,False,"1,2,3",
lab__202271_141_edited.swc,64088,False,"1,2,3",
lab__202409_001_edited.swc,60887,False,"1,2,3",
lab__202412_095_edited.swc,48293,False,"1,2,3",
lab__202413_067_edited.swc,39361,False,"1,2,3",
lab__202417_043_edited.swc,11858,False,"1,2,3",
lab__202426_023_edited.swc,21107,False,"1,2,3",
lab__202427_096_edited.swc,3506,False,"1,2,3",
lab__202498_005_edited.swc,37638,False,"1,2,3",
lab__202501_028_edited.swc,25508,False,"1,2,3",
lab__202501_029_edited.swc,50412,False,"1,2,3",
lab__202668_011_edited.swc,16951,False,"1,2,3",
lab__202674_032_edited.swc,25116,False,"1,2,3",
lab__210107_011_edited.swc,57408,False,"1,2,3",
lab__210111_074_edited.swc,44841,False,"1,2,3",
lab__210111_160_edited.swc,31310,False,"1,2,3",
lab__210111_190_edited.swc,14632,False,"1,2,3",
lab__210251_056_edited.swc,46250,False,"1,2,3",
lab__210253_024_edited.swc,38697,False,"1,2,3",
neuromorpho__09_13_16_1_5.swc,5993,False,"1,2,3",
neuromorpho__10506c3.swc,3175,False,"1,2,3",
neuromorpho__11224c3.swc,1239,False,"1,2,3",
neuromorpho__11615c1.swc,2048,False,"1,2,3",
neuromorpho__12_den_ax.swc,81086,False,"1,2,3",
neuromorpho__236-2-4LS.swc,357,False,"1,2,3",
neuromorpho__236-2-63LS.swc,506,False,"1,2,3",
neuromorpho__236-2-66LS.swc,461,False,"1,2,3",
neuromorpho__236-2-82LS.swc,555,False,"1,2,3",
neuromorpho__236-2a-13-AW.swc,577,False,"1,2,3",
neuromorpho__236-2a-25-AW.swc,452,False,"1,2,3",
neuromorpho__236-3-69LS.swc,478,False,"1,2,3",
neuromorpho__236-3-8LS.swc,731,False,"1,2,3",
neuromorpho__241-1-43VN.swc,360,False,"1,2,3",
neuromorpho__241-1-6VN.swc,651,False,"1,2,3",
neuromorpho__241-2-35VN.swc,411,False,"1,2,3",
