file,cell_type_gt,seed42_pred,seed42_conf,seed42_held_out,seed789_pred,seed789_conf,seed789_held_out,n_seeds_disagree,n_honest_disagree,suspect_score,classification,source
neuromorpho__0604018001.swc,interneuron,pyramidal,0.9701,True,interneuron,0.522,False,1,1,6,MAYBE_GT_ERROR,neuromorpho
neuromorpho__11_13_17_1_7.swc,pyramidal,pyramidal,0.5964,False,interneuron,0.9771,True,1,1,6,MAYBE_GT_ERROR,neuromorpho
neuromorpho__20190625_sample_10.swc,interneuron,pyramidal,0.8599,True,interneuron,0.5322,False,1,1,6,MAYBE_GT_ERROR,neuromorpho
neuromorpho__350R.swc,interneuron,pyramidal,0.8779,True,interneuron,0.9227,False,1,1,6,MAYBE_GT_ERROR,neuromorpho
neuromorpho__6N5DAT6-50717GFPwtb_013-FCON3mutTdt24a.swc,interneuron,pyramidal,0.9318,True,interneuron,0.8908,False,1,1,6,MAYBE_GT_ERROR,neuromorpho
neuromorpho__Cell-3-1.swc,interneuron,interneuron,0.8022,False,pyramidal,0.9035,True,1,1,6,MAYBE_GT_ERROR,neuromorpho
neuromorpho__K201221-05_onlydendrites.swc,interneuron,interneuron,0.8029,False,pyramidal,0.8595,True,1,1,6,MAYBE_GT_ERROR,neuromorpho
hpf_ca1__202259_108_edited.swc,pyramidal,pyramidal,0.5772,True,interneuron,0.9171,False,1,0,5,MAYBE_GT_ERROR,hpf_ca1
neuromorpho__05_24_18_3_1_8.swc,pyramidal,pyramidal,0.9613,False,interneuron,0.8768,False,1,0,5,MAYBE_GT_ERROR,neuromorpho
neuromorpho__3111_20140612-x1-25.swc,pyramidal,pyramidal,0.5037,False,interneuron,0.9567,False,1,0,5,MAYBE_GT_ERROR,neuromorpho
neuromorpho__Cell-21.swc,interneuron,interneuron,0.6182,False,pyramidal,0.8671,False,1,0,5,MAYBE_GT_ERROR,neuromorpho
neuromorpho__P120117-02-AAC.swc,interneuron,interneuron,0.8793,False,pyramidal,0.9239,False,1,0,5,MAYBE_GT_ERROR,neuromorpho
neuromorpho__WT3-neuron4.swc,pyramidal,pyramidal,0.605,False,interneuron,0.8698,False,1,0,5,MAYBE_GT_ERROR,neuromorpho
neuromorpho__a151123-3_VIP_IN_only_dendrite.swc,interneuron,interneuron,0.761,False,pyramidal,0.852,False,1,0,5,MAYBE_GT_ERROR,neuromorpho
allen__H16.06.007.01.07.04_531526539.swc,pyramidal,pyramidal,0.6743,False,interneuron,0.7504,True,1,1,4,OK,allen
allen__H17.06.005.12.10.04_571435969.swc,interneuron,pyramidal,0.7107,True,interneuron,0.8295,False,1,1,4,OK,allen
neuromorpho__020414-pos-div14-cs4.swc,interneuron,interneuron,0.5903,True,pyramidal,0.8317,True,1,1,4,OK,neuromorpho
