file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
allen__H16.03.002.01.06.01_520454345.swc,pyramidal,10817,0.787094,0.593900,1.000000,0.000000,0.781800,1.000000,1,0,6428,4388
allen__H16.03.006.01.09.02_537266147.swc,pyramidal,22350,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14344,3734,4271
allen__H16.03.007.01.01.03.02_541540569.swc,pyramidal,20291,0.947514,0.917400,1.000000,0.962700,0.789700,1.000000,1,14794,1999,3497
allen__H16.06.004.01.04.03_508282493.swc,pyramidal,10880,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,5630,2418,2831
allen__H16.06.008.01.25.03_527941296.swc,pyramidal,7342,0.951920,0.653100,1.000000,0.000000,0.959300,1.000000,1,0,4513,2828
allen__H16.06.009.01.02.03.01_528636794.swc,pyramidal,7487,0.560438,0.383100,1.000000,0.000000,0.363300,0.786000,1,0,4230,3256
allen__H16.06.010.01.01.10.01_529889679.swc,pyramidal,11792,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,6064,2595,3132
allen__H16.06.011.01.01.05.03_539653924.swc,pyramidal,9458,0.993339,0.664500,1.000000,0.000000,0.993500,1.000000,1,0,4905,4552
allen__H16.06.012.11.06.01_548408551.swc,pyramidal,15940,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,7027,4125,4787
allen__H16.06.012.11.08.03_548440226.swc,pyramidal,29702,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,18319,6709,4673
allen__H17.03.002.11.06.03_569821470.swc,pyramidal,20269,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,15732,3048,1488
allen__H17.03.009.11.11.06_613442532.swc,pyramidal,4357,0.764287,0.486800,1.000000,0.000000,0.625900,0.834500,1,0,1886,2470
hpf_ca1__201983_017_edited.swc,pyramidal,10101,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,5895,1380,2825
hpf_ca1__201990_006_edited.swc,pyramidal,66497,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,62695,1699,2102
hpf_ca1__201990_018_edited.swc,pyramidal,8684,0.868724,0.575900,1.000000,1.000000,0.727700,0.000000,1,6020,2663,0
hpf_ca1__201990_024_edited.swc,pyramidal,22256,0.946262,0.578400,1.000000,1.000000,0.000000,0.735300,1,19398,0,2857
hpf_ca1__201990_025_edited.swc,pyramidal,86114,0.979423,0.568000,1.000000,1.000000,0.704000,0.000000,1,82234,3879,0
hpf_ca1__201990_031_edited.swc,pyramidal,55514,0.961523,0.739300,1.000000,1.000000,0.478500,,1,52397,980,2136
hpf_ca1__201990_041_edited.swc,pyramidal,50121,1.000000,1.000000,1.000000,1.000000,1.000000,,1,47556,2564,0
hpf_ca1__201990_069_edited.swc,pyramidal,27674,1.000000,1.000000,1.000000,1.000000,1.000000,,1,25814,1859,0
hpf_ca1__202217_016_edited.swc,pyramidal,26143,1.000000,1.000000,1.000000,1.000000,1.000000,,1,24036,2106,0
hpf_ca1__202217_018_edited.swc,pyramidal,45687,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,42952,1288,1446
hpf_ca1__202217_021_edited.swc,pyramidal,22279,0.999955,0.999700,1.000000,1.000000,0.999300,0.999600,1,20248,767,1263
hpf_ca1__202217_023_edited.swc,pyramidal,16882,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13568,1151,2162
hpf_ca1__202219_003_edited.swc,pyramidal,16614,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14114,904,1595
