file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
hpf_ca1__201983_017_edited.swc,pyramidal,10101,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,5895,1380,2825
hpf_ca1__201990_006_edited.swc,pyramidal,66497,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,62695,1699,2102
hpf_ca1__201990_018_edited.swc,pyramidal,8684,0.868724,0.575900,1.000000,1.000000,0.727700,0.000000,1,6020,2663,0
hpf_ca1__201990_024_edited.swc,pyramidal,22256,0.946262,0.578400,1.000000,1.000000,0.000000,0.735300,1,19398,0,2857
hpf_ca1__201990_025_edited.swc,pyramidal,86114,0.979121,0.639700,1.000000,1.000000,0.255800,0.663400,1,82234,309,3570
hpf_ca1__201990_031_edited.swc,pyramidal,55514,1.000000,1.000000,1.000000,1.000000,1.000000,,1,52397,3116,0
hpf_ca1__201990_041_edited.swc,pyramidal,50121,1.000000,1.000000,1.000000,1.000000,1.000000,,1,47556,2564,0
hpf_ca1__201990_069_edited.swc,pyramidal,27674,1.000000,1.000000,1.000000,1.000000,1.000000,,1,25814,1859,0
hpf_ca1__202217_016_edited.swc,pyramidal,26143,1.000000,1.000000,1.000000,1.000000,1.000000,,1,24036,2106,0
hpf_ca1__202217_018_edited.swc,pyramidal,45687,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,42952,1288,1446
hpf_ca1__202217_021_edited.swc,pyramidal,22279,0.999955,0.999700,1.000000,1.000000,0.999300,0.999600,1,20248,767,1263
hpf_ca1__202217_023_edited.swc,pyramidal,16882,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13568,1151,2162
hpf_ca1__202219_003_edited.swc,pyramidal,16614,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14114,904,1595
hpf_ca1__202219_004_edited.swc,pyramidal,25888,1.000000,1.000000,1.000000,1.000000,1.000000,,1,24160,1727,0
