file,cell_type_gt,n_nodes,accuracy,neurite_macro_f1,soma_f1,axon_f1,basal_f1,apical_f1,pred_soma,pred_axon,pred_basal,pred_apical
hpf_ca1__201983_047_edited.swc,pyramidal,18073,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,14914,1077,2081
hpf_ca1__201990_003_edited.swc,pyramidal,42263,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,36207,2009,4046
hpf_ca1__201990_006_edited.swc,pyramidal,66497,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,62695,1699,2102
hpf_ca1__201990_022_edited.swc,pyramidal,62240,0.963641,0.777700,1.000000,1.000000,0.555300,,1,58563,1413,2263
hpf_ca1__201990_035_edited.swc,pyramidal,30354,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,27961,700,1692
hpf_ca1__201990_038_edited.swc,pyramidal,31904,1.000000,1.000000,1.000000,1.000000,1.000000,,1,28969,2934,0
hpf_ca1__201990_063_edited.swc,pyramidal,27280,1.000000,1.000000,1.000000,1.000000,1.000000,,1,25114,2165,0
hpf_ca1__201990_066_edited.swc,pyramidal,5246,0.823103,0.600200,1.000000,1.000000,0.800600,0.000000,1,2454,2791,0
hpf_ca1__202054_008_edited.swc,pyramidal,19059,1.000000,1.000000,1.000000,1.000000,1.000000,,1,17191,1867,0
hpf_ca1__202054_009_edited.swc,pyramidal,37107,0.975072,0.556900,1.000000,1.000000,0.670700,0.000000,1,35239,1867,0
hpf_ca1__202217_012_edited.swc,pyramidal,22283,1.000000,1.000000,1.000000,1.000000,1.000000,,1,20788,1494,0
hpf_ca1__202217_019_edited.swc,pyramidal,41296,0.959802,0.791700,1.000000,1.000000,0.583300,,1,38473,1162,1660
hpf_ca1__202217_020_edited.swc,pyramidal,33093,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,30899,658,1535
hpf_ca1__202219_007_edited.swc,pyramidal,25135,1.000000,1.000000,1.000000,1.000000,1.000000,,1,24193,941,0
hpf_ca1__202219_009_edited.swc,pyramidal,31741,1.000000,1.000000,1.000000,1.000000,1.000000,,1,29285,2455,0
hpf_ca1__202219_011_edited.swc,pyramidal,73358,0.973036,0.836600,1.000000,1.000000,0.673200,,1,69342,2037,1978
hpf_ca1__202219_041_edited.swc,pyramidal,33018,1.000000,1.000000,1.000000,1.000000,1.000000,,1,32212,805,0
hpf_ca1__202224_002_edited.swc,pyramidal,3065,0.599347,0.374700,1.000000,0.000000,0.749400,,1,0,2705,359
hpf_ca1__202226_007_edited.swc,pyramidal,30190,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,25365,1046,3778
hpf_ca1__202226_011_edited.swc,pyramidal,16855,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,13137,2354,1363
hpf_ca1__202230_009_edited.swc,pyramidal,20282,1.000000,1.000000,1.000000,1.000000,1.000000,,1,19398,883,0
hpf_ca1__202232_003_edited.swc,pyramidal,52919,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,49498,1035,2385
hpf_ca1__202232_004_edited.swc,pyramidal,18766,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,15868,665,2232
hpf_ca1__202232_022_edited.swc,pyramidal,118347,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,113998,1984,2364
hpf_ca1__202232_071_edited.swc,pyramidal,16712,0.999940,0.999700,1.000000,1.000000,0.999500,0.999700,1,13950,954,1807
hpf_ca1__202234_026_edited.swc,pyramidal,105116,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,101176,1199,2740
hpf_ca1__202237_014_edited.swc,pyramidal,82589,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,78059,1757,2772
hpf_ca1__202237_023_edited.swc,pyramidal,26024,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,23876,1096,1051
hpf_ca1__202237_041_edited.swc,pyramidal,21926,1.000000,1.000000,1.000000,1.000000,1.000000,,1,18677,3248,0
hpf_ca1__202237_042_edited.swc,pyramidal,37761,0.973359,0.513800,1.000000,1.000000,0.541500,0.000000,1,36160,1600,0
