seed,family,method,n_test_cells,accuracy,neurite_macro_f1,axon_f1,basal_f1,apical_f1,per_cell_accuracy_mean,per_cell_accuracy_p10,per_cell_f1_mean,per_cell_f1_p10,per_cell_f1_p25,pyramidal_accuracy,pyramidal_neurite_f1,pyramidal_apical_f1,interneuron_accuracy,interneuron_neurite_f1
123,v12,v12_branch3_gt_celltype,2402,0.9791,0.9443,0.9912,0.944,0.8979,0.9401621486036833,0.759474906779143,0.9296103663613656,0.64802,1.0,0.9809,0.945,0.9052,0.9775,0.971
123,baseline,neurom_rf,2402,0.9304,0.8205,0.9671,0.8304,0.6642,0.8838309003897626,0.6714454775993237,0.8427482514571191,0.5402,0.7553,0.9424,0.8326,0.6694,0.9028,0.8724
123,baseline,lmeasure_rf,2402,0.9795,0.9446,0.9923,0.9401,0.9013,0.936773990957499,0.7298754769670419,0.8952464612822648,0.4808400000000001,1.0,0.9843,0.9487,0.9087,0.9702,0.9621
123,baseline,sholl_rf,2402,0.9793,0.9437,0.9922,0.9399,0.899,0.9288588502671701,0.6777510274205878,0.884021898417985,0.42561,1.0,0.984,0.9478,0.9064,0.9702,0.962
123,baseline,sholl_mlp,2402,0.9724,0.9251,0.9893,0.9228,0.8631,0.9126059337765361,0.6057943717940948,0.8571564945878435,0.37950000000000006,0.79785,0.9773,0.9279,0.8702,0.9629,0.9531
42,v12,v12_branch3_gt_celltype,2328,0.9841,0.9568,0.9936,0.9538,0.9229,0.9568383796106176,0.9001262514146123,0.945103823024055,0.7630300000000001,1.0,0.9869,0.958,0.9296,0.979,0.9735
42,baseline,neurom_rf,2328,0.9348,0.8281,0.9696,0.8273,0.6874,0.8915446948621114,0.6841322712041255,0.8503567010309279,0.5428700000000001,0.774475,0.9488,0.8407,0.6924,0.8972,0.868
42,baseline,lmeasure_rf,2328,0.9777,0.9439,0.9904,0.9314,0.91,0.9471491173377417,0.8086235926865043,0.9128562285223368,0.58918,1.0,0.9853,0.952,0.9167,0.9588,0.9475
42,baseline,sholl_rf,2328,0.9769,0.939,0.9906,0.9288,0.8976,0.937219440086808,0.7303292752123136,0.8988474656357389,0.49500000000000005,1.0,0.9837,0.9455,0.9042,0.9603,0.9492
42,baseline,sholl_mlp,2328,0.9695,0.9239,0.9862,0.9099,0.8757,0.9262536675069858,0.6722015229636321,0.8757317869415808,0.4660500000000001,0.955725,0.9804,0.9363,0.882,0.9413,0.9247
789,v12,v12_branch3_gt_celltype,2293,0.9824,0.9529,0.9921,0.9589,0.9075,0.9570125070567782,0.8961758917887342,0.9458003052769298,0.79652,1.0,0.9839,0.9536,0.9083,0.9793,0.9733
789,baseline,neurom_rf,2293,0.9248,0.8184,0.9638,0.8241,0.6673,0.8889560238494716,0.6744965104685942,0.8484883122546882,0.54326,0.7658,0.9361,0.8295,0.6679,0.8983,0.867
789,baseline,lmeasure_rf,2293,0.9808,0.9544,0.9918,0.9451,0.9263,0.945499274626634,0.7845346732582328,0.9090991713911907,0.5491400000000001,1.0,0.9858,0.9576,0.9271,0.9692,0.9605
789,baseline,sholl_rf,2293,0.9773,0.9388,0.9918,0.9358,0.8888,0.9333882260390399,0.6923204591958204,0.8917053205407763,0.45924000000000004,1.0,0.9803,0.9381,0.8896,0.9705,0.9621
789,baseline,sholl_mlp,2293,0.972,0.9216,0.9897,0.9276,0.8474,0.9176757565960136,0.6151795631247686,0.8690877889228085,0.40362000000000003,0.9506,0.9745,0.9203,0.8481,0.9664,0.9575
